path,family_id,case_label,strain_percent,chirality,k1_centered,k2_centered,k3_centered,energy_minus_EF_eV,gap_eV
b,F01,00_Optimized_Structure,0.0,-1,-0.12873120999999998,0.046220640000000035,0.007049269999999996,0.00399565,2e-08
b,F01,Strain_b_Tension_0.1pct,0.1,-1,-0.12852969000000014,0.04581458000000005,0.00475890999999995,0.00355538,2e-08
b,F01,Strain_b_Tension_0.2pct,0.2,-1,-0.12824376000000015,0.045861739999999984,0.004245419999999944,0.00316809,3e-08
b,F01,Strain_b_Tension_0.3pct,0.3,-1,-0.12797539999999996,0.04591489000000004,0.005022100000000029,0.00276255,2e-08
b,F01,Strain_b_Tension_0.4pct,0.4,-1,-0.12758958999999992,0.04634168000000005,0.004958649999999953,0.00263905,3e-08
b,F01,Strain_b_Tension_0.5pct,0.5,-1,-0.12729729,0.046401059999999994,0.0054797100000000265,0.00234332,3e-08
b,F02,00_Optimized_Structure,0.0,-1,-0.12227546999999994,-0.10256825999999997,0.007444429999999946,0.05899433,2e-08
b,F02,Strain_b_Tension_0.1pct,0.1,-1,-0.12196767000000008,-0.10262112999999995,0.00879715999999997,0.05850385,1e-08
b,F02,Strain_b_Tension_0.2pct,0.2,-1,-0.12169022000000007,-0.10276152000000005,0.009258630000000045,0.05785921,1e-08
b,F02,Strain_b_Tension_0.3pct,0.3,-1,-0.12139552000000009,-0.10278911999999996,0.009745569999999981,0.05725154,2e-08
b,F02,Strain_b_Tension_0.4pct,0.4,-1,-0.12103499000000006,-0.10307420999999994,0.007919980000000049,0.05696864,2e-08
b,F02,Strain_b_Tension_0.5pct,0.5,-1,-0.12074600999999996,-0.10312674,0.00795385000000004,0.05630888,1e-08
b,F03,00_Optimized_Structure,0.0,-1,0.12228328,0.10249297000000002,-0.007627390000000123,0.0589698,2e-08
b,F03,Strain_b_Tension_0.1pct,0.1,-1,0.12197234999999995,0.10252389000000006,-0.00914864999999998,0.05847095,3e-08
b,F03,Strain_b_Tension_0.2pct,0.2,-1,0.12169666000000001,0.10271602999999996,-0.00947695000000004,0.0578597,3e-08
b,F03,Strain_b_Tension_0.3pct,0.3,-1,0.12139736999999995,0.10274264,-0.009901579999999965,0.05727023,3e-08
b,F03,Strain_b_Tension_0.4pct,0.4,-1,0.12105155999999995,0.10306353000000001,-0.008304520000000037,0.05692542,2e-08
b,F03,Strain_b_Tension_0.5pct,0.5,-1,0.12074257,0.10311957000000005,-0.00820255000000003,0.0563663,2e-08
b,F04,00_Optimized_Structure,0.0,-1,0.12872954999999997,-0.046271219999999946,-0.0070275099999999036,0.00402555,1e-08
b,F04,Strain_b_Tension_0.1pct,0.1,-1,0.12852565999999999,-0.04586244000000006,-0.00474916000000003,0.00357366,2e-08
b,F04,Strain_b_Tension_0.2pct,0.2,-1,0.12823413000000006,-0.04596658999999992,-0.004211170000000042,0.00322776,3e-08
b,F04,Strain_b_Tension_0.3pct,0.3,-1,0.12796083999999996,-0.04601909000000015,-0.004913409999999896,0.00284894,2e-08
b,F04,Strain_b_Tension_0.4pct,0.4,-1,0.12756206000000003,-0.04640281000000002,-0.004938179999999903,0.0027928,2e-08
b,F04,Strain_b_Tension_0.5pct,0.5,-1,0.12728527,-0.046510770000000035,-0.005416529999999975,0.00241612,2e-08
b,F05,00_Optimized_Structure,0.0,1,-0.12877157000000006,-0.04539855999999998,0.0071290200000000414,0.00318708,1e-08
b,F05,Strain_b_Tension_0.1pct,0.1,1,-0.12853271999999993,-0.04536534999999997,0.006620819999999972,0.00283777,2e-08
b,F05,Strain_b_Tension_0.2pct,0.2,1,-0.12825349000000008,-0.04543856000000002,0.007642000000000038,0.00246264,2e-08
b,F05,Strain_b_Tension_0.3pct,0.3,1,-0.12798330999999985,-0.04550161000000008,0.007113959999999975,0.00206083,2e-08
b,F05,Strain_b_Tension_0.4pct,0.4,1,-0.12765749999999998,-0.045738979999999874,0.006852159999999996,0.00179297,2e-08
b,F05,Strain_b_Tension_0.5pct,0.5,1,-0.1273649400000001,-0.04583212999999997,0.006777319999999976,0.00150988,2e-08
b,F06,00_Optimized_Structure,0.0,1,-0.12182227999999995,0.10235273999999994,0.008996710000000019,0.0601848,2e-08
