case_label,path,direction,strain_percent,node_id,k1,k2,k3,k1_centered,k2_centered,k3_centered,energy_minus_EF_eV,chirality,gap_eV,num_occupied
00_Optimized_Structure,a,ref,0.0,6,0.87126879,0.04622064,0.00704927,-0.12873120999999998,0.046220640000000035,0.007049269999999996,0.00399565,-1,2e-08,56
00_Optimized_Structure,a,ref,0.0,7,0.8777245300000001,0.89743174,0.00744443,-0.12227546999999994,-0.10256825999999997,0.007444429999999946,0.05899433,-1,2e-08,56
00_Optimized_Structure,a,ref,0.0,2,0.12228328,0.10249297,0.99237261,0.12228328,0.10249297000000002,-0.007627390000000123,0.0589698,-1,2e-08,56
00_Optimized_Structure,a,ref,0.0,3,0.12872955,0.95372878,0.99297249,0.12872954999999997,-0.046271219999999946,-0.0070275099999999036,0.00402555,-1,1e-08,56
00_Optimized_Structure,a,ref,0.0,5,0.8712284299999999,0.95460144,0.00712902,-0.12877157000000006,-0.04539855999999998,0.0071290200000000414,0.00318708,1,1e-08,56
00_Optimized_Structure,a,ref,0.0,8,0.87817772,0.10235274,0.00899671,-0.12182227999999995,0.10235273999999994,0.008996710000000019,0.0601848,1,2e-08,56
00_Optimized_Structure,a,ref,0.0,1,0.12180448,0.89766256,0.99101683,0.12180447999999999,-0.10233743999999989,-0.00898317000000004,0.06023216,1,2e-08,56
00_Optimized_Structure,a,ref,0.0,4,0.1287958,0.04531655,0.99270877,0.12879580000000002,0.04531655000000001,-0.007291229999999871,0.00304302,1,2e-08,56
Strain_a_Tension_0.1pct,a,a,0.1,6,0.8709049600000001,0.04665706,0.00494863,-0.12909503999999994,0.04665706000000003,0.004948630000000009,0.00287102,-1,2e-08,56
Strain_a_Tension_0.1pct,a,a,0.1,7,0.87751611,0.89683413,0.00751624,-0.12248389000000004,-0.10316586999999999,0.007516239999999952,0.05796364,-1,3e-08,56
Strain_a_Tension_0.1pct,a,a,0.1,2,0.12249021,0.10317921,0.99230798,0.12249021000000004,0.10317920999999997,-0.007692019999999911,0.05793641,-1,3e-08,56
Strain_a_Tension_0.1pct,a,a,0.1,3,0.12907545,0.95329363,0.99504723,0.12907544999999998,-0.046706369999999886,-0.004952770000000051,0.00299077,-1,2e-08,56
Strain_a_Tension_0.1pct,a,a,0.1,5,0.8709015,0.95376924,0.00557327,-0.1290985,-0.04623076000000004,0.0055732699999999635,0.00218542,1,3e-08,56
Strain_a_Tension_0.1pct,a,a,0.1,8,0.87789538,0.10303858,0.00900736,-0.12210462,0.10303857999999999,0.00900736000000002,0.0589735,1,2e-08,56
Strain_a_Tension_0.1pct,a,a,0.1,1,0.12209156,0.89689215,0.99095811,0.12209155999999999,-0.10310785,-0.009041889999999997,0.05902035,1,1e-08,56
Strain_a_Tension_0.1pct,a,a,0.1,4,0.12909636,0.04616737,0.99434916,0.12909636000000002,0.04616737000000004,-0.005650839999999935,0.00215594,1,2e-08,56
Strain_a_Tension_0.2pct,a,a,0.2,6,0.87064211,0.04757524,0.0047896,-0.1293578900000001,0.04757524000000002,0.0047895999999999495,0.00195495,-1,3e-08,56
Strain_a_Tension_0.2pct,a,a,0.2,7,0.87727703,0.89602431,0.00699912,-0.12272296999999988,-0.10397568999999995,0.006999120000000025,0.05681064,-1,3e-08,56
Strain_a_Tension_0.2pct,a,a,0.2,2,0.12273524,0.10395209,0.99261946,0.12273524000000002,0.10395208999999994,-0.007380539999999991,0.05677307,-1,2e-08,56
Strain_a_Tension_0.2pct,a,a,0.2,3,0.12934798,0.95233079,0.99509621,0.12934798000000003,-0.04766921000000002,-0.0049037899999999635,0.00202076,-1,1e-08,56
Strain_a_Tension_0.2pct,a,a,0.2,5,0.8706381,0.95285277,0.00528626,-0.12936190000000014,-0.047147229999999984,0.005286259999999987,0.00125968,1,2e-08,56
Strain_a_Tension_0.2pct,a,a,0.2,8,0.8776384,0.10378774,0.0090001,-0.12236160000000007,0.10378774000000002,0.009000099999999955,0.05780823,1,1e-08,56
Strain_a_Tension_0.2pct,a,a,0.2,1,0.1223475,0.89618823,0.99108232,0.12234750000000005,-0.10381177000000008,-0.00891768000000015,0.0577957,1,2e-08,56
Strain_a_Tension_0.2pct,a,a,0.2,4,0.12937862,0.04707329,0.99472614,0.12937862,0.047073290000000045,-0.005273859999999964,0.00114386,1,3e-08,56
Strain_a_Tension_0.3pct,a,a,0.3,6,0.8703760899999999,0.04852926,0.00465622,-0.12962391000000006,0.04852926000000002,0.004656219999999989,0.00105816,-1,2e-08,56
Strain_a_Tension_0.3pct,a,a,0.3,7,0.8770174,0.89525101,0.00665753,-0.12298260000000005,-0.10474899000000004,0.006657530000000023,0.05563609,-1,2e-08,56
Strain_a_Tension_0.3pct,a,a,0.3,2,0.12298519,0.10470508,0.992943,0.12298518999999997,0.10470508,-0.007057000000000091,0.05563141,-1,3e-08,56
Strain_a_Tension_0.3pct,a,a,0.3,3,0.12961507,0.95137643,0.99526998,0.12961507000000005,-0.04862356999999995,-0.0047300200000000014,0.00113055,-1,3e-08,56
Strain_a_Tension_0.3pct,a,a,0.3,5,0.87037104,0.95191825,0.005085,-0.12962896000000002,-0.048081750000000145,0.005085000000000006,0.00036893,1,2e-08,56
Strain_a_Tension_0.3pct,a,a,0.3,8,0.87737893,0.10452387,0.00893724,-0.12262107000000011,0.10452386999999996,0.008937239999999957,0.05661951,1,1e-08,56
Strain_a_Tension_0.3pct,a,a,0.3,1,0.12259894,0.89547653,0.99117349,0.12259894000000005,-0.10452346999999995,-0.00882651000000001,0.05663103,1,1e-08,56
Strain_a_Tension_0.3pct,a,a,0.3,4,0.12964792,0.04801133,0.99495671,0.12964792000000003,0.04801133000000002,-0.005043290000000145,0.00024225,1,2e-08,56
Strain_a_Tension_0.4pct,a,a,0.4,6,0.87010634,0.04937033,0.00445457,-0.12989366000000002,0.04937033000000002,0.0044545700000000465,0.00010042,-1,2e-08,56
Strain_a_Tension_0.4pct,a,a,0.4,7,0.87676616,0.8946378,0.0062383,-0.12323384000000015,-0.10536220000000007,0.00623830000000003,0.05457114,-1,2e-08,56
Strain_a_Tension_0.4pct,a,a,0.4,2,0.12323488,0.10537159,0.9934371,0.12323488000000005,0.10537158999999996,-0.006562900000000038,0.05455959,-1,2e-08,56
Strain_a_Tension_0.4pct,a,a,0.4,3,0.12987322,0.95056071,0.99562248,0.12987322,-0.049439290000000025,-0.004377520000000024,0.0002194,-1,2e-08,56
Strain_a_Tension_0.4pct,a,a,0.4,5,0.8700871,0.95116197,0.00473405,-0.1299128999999999,-0.04883802999999998,0.004734050000000045,-0.00064429,1,2e-08,56
Strain_a_Tension_0.4pct,a,a,0.4,8,0.87704172,0.10536457,0.00883726,-0.12295827999999998,0.10536456999999999,0.008837259999999958,0.05533204,1,2e-08,56
Strain_a_Tension_0.4pct,a,a,0.4,1,0.12294022,0.8945901,0.99116038,0.12294022000000004,-0.10540989999999995,-0.008839620000000048,0.05540115,1,2e-08,56
Strain_a_Tension_0.4pct,a,a,0.4,4,0.12991882,0.04877149,0.99516445,0.12991882,0.04877149000000003,-0.004835550000000133,-0.00070706,1,3e-08,56
Strain_a_Tension_0.5pct,a,a,0.5,6,0.86992779,0.05058135,0.00317335,-0.13007221000000002,0.05058134999999997,0.0031733499999999637,-0.00052585,-1,3e-08,56
Strain_a_Tension_0.5pct,a,a,0.5,7,0.87651415,0.89350711,0.00534341,-0.12348585000000001,-0.10649288999999995,0.005343410000000048,0.05366035,-1,2e-08,56
Strain_a_Tension_0.5pct,a,a,0.5,2,0.12348507,0.10643816,0.99432393,0.12348506999999997,0.10643815999999995,-0.005676070000000033,0.05362817,-1,2e-08,56
Strain_a_Tension_0.5pct,a,a,0.5,3,0.1300601,0.94931861,0.99671308,0.1300601,-0.05068139000000005,-0.00328691999999986,-0.0004427,-1,2e-08,56
Strain_a_Tension_0.5pct,a,a,0.5,5,0.86986657,0.95002215,0.00543225,-0.13013342999999988,-0.04997784999999988,0.005432250000000027,-0.00130432,1,2e-08,56
Strain_a_Tension_0.5pct,a,a,0.5,8,0.8767477,0.10636275,0.00844756,-0.12325229999999987,0.10636274999999995,0.00844756000000002,0.05440371,1,2e-08,56
Strain_a_Tension_0.5pct,a,a,0.5,1,0.12323701,0.89364868,0.99160467,0.12323700999999998,-0.10635131999999992,-0.008395329999999923,0.05442609,1,2e-08,56
Strain_a_Tension_0.5pct,a,a,0.5,4,0.13015649,0.04990423,0.99455598,0.13015649000000007,0.049904229999999994,-0.005444020000000105,-0.00144385,1,3e-08,56
Strain_b_Tension_0.1pct,b,b,0.1,6,0.87147031,0.04581458,0.00475891,-0.12852969000000014,0.04581458000000005,0.00475890999999995,0.00355538,-1,2e-08,56
Strain_b_Tension_0.1pct,b,b,0.1,7,0.87803233,0.89737887,0.00879716,-0.12196767000000008,-0.10262112999999995,0.00879715999999997,0.05850385,-1,1e-08,56
Strain_b_Tension_0.1pct,b,b,0.1,2,0.12197235,0.10252389,0.99085135,0.12197234999999995,0.10252389000000006,-0.00914864999999998,0.05847095,-1,3e-08,56
Strain_b_Tension_0.1pct,b,b,0.1,3,0.12852566,0.95413756,0.99525084,0.12852565999999999,-0.04586244000000006,-0.00474916000000003,0.00357366,-1,2e-08,56
Strain_b_Tension_0.1pct,b,b,0.1,5,0.8714672800000001,0.95463465,0.00662082,-0.12853271999999993,-0.04536534999999997,0.006620819999999972,0.00283777,1,2e-08,56
