path,family_id,case_label,strain_percent,chirality,delta_k1_relative_to_0,delta_k2_relative_to_0,delta_k3_relative_to_0,relative_displacement,energy_minus_EF_eV
a,F01,00_Optimized_Structure,0.0,-1,0.0,0.0,0.0,0.0,0.00399565
a,F01,Strain_a_Tension_0.1pct,0.1,-1,-0.0003638300000000094,0.00043641999999999986,-0.0021006399999999002,0.0021761257075131454,0.00287102
a,F01,Strain_a_Tension_0.2pct,0.2,-1,-0.0006266800000001849,0.0013545999999999975,-0.00225967,0.002708094808403174,0.00195495
a,F01,Strain_a_Tension_0.3pct,0.3,-1,-0.0008927000000001073,0.0023086199999999973,-0.00239305,0.0034428662327921165,0.00105816
a,F01,Strain_a_Tension_0.4pct,0.4,-1,-0.0011624500000000926,0.0031496899999999967,-0.0025946999999999004,0.004243148028127192,0.00010042
a,F01,Strain_a_Tension_0.5pct,0.5,-1,-0.0013410000000000921,0.0043607099999999,-0.00387592,0.005986386936249559,-0.00052585
a,F02,00_Optimized_Structure,0.0,-1,0.0,0.0,0.0,0.0,0.05899433
a,F02,Strain_a_Tension_0.1pct,0.1,-1,-0.00020842000000009797,-0.0005976099999999984,7.180999999999941e-05,0.0006369719653171864,0.05796364
a,F02,Strain_a_Tension_0.2pct,0.2,-1,-0.0004474999999999063,-0.0014074300000000012,-0.00044530999999990023,0.0015425357211422464,0.05681064
a,F02,Strain_a_Tension_0.3pct,0.3,-1,-0.0007071300000000974,-0.002180730000000103,-0.0007868999999999004,0.002423804402133231,0.05563609
a,F02,Strain_a_Tension_0.4pct,0.4,-1,-0.0009583700000001943,-0.002793940000000106,-0.0012061299999999008,0.0031905051884303093,0.05457114
a,F02,Strain_a_Tension_0.5pct,0.5,-1,-0.0012103800000000942,-0.003924629999999998,-0.0021010199999999006,0.004613244565563351,0.05366035
a,F03,00_Optimized_Structure,0.0,-1,0.0,0.0,0.0,0.0,0.0589698
a,F03,Strain_a_Tension_0.1pct,0.1,-1,0.00020693000000000794,0.0006862399999998936,-6.462999999980006e-05,0.00071966825649033,0.05793641
a,F03,Strain_a_Tension_0.2pct,0.2,-1,0.00045196000000000125,0.0014591199999998972,0.0002468500000002002,0.0015473312310232093,0.05677307
a,F03,Strain_a_Tension_0.3pct,0.3,-1,0.0007019099999999029,0.0022121100000000032,0.0005703900000001002,0.002389864651460411,0.05563141
a,F03,Strain_a_Tension_0.4pct,0.4,-1,0.0009516000000000108,0.0028786199999999013,0.0010644900000001001,0.003213274750857708,0.05455959
a,F03,Strain_a_Tension_0.5pct,0.5,-1,0.001201789999999911,0.003945189999999904,0.0019513200000001,0.004562507324114605,0.05362817
a,F04,00_Optimized_Structure,0.0,-1,0.0,0.0,0.0,0.0,0.00402555
a,F04,Strain_a_Tension_0.1pct,0.1,-1,0.0003459000000000101,-0.00043514999999990506,0.0020747399999999005,0.0021479172237540978,0.00299077
a,F04,Strain_a_Tension_0.2pct,0.2,-1,0.0006184300000001142,-0.0013979900000000989,0.00212372,0.002616680787448178,0.00202076
a,F04,Strain_a_Tension_0.3pct,0.3,-1,0.0008855200000001118,-0.002352350000000003,0.0022974899999999004,0.003405312980182549,0.00113055
a,F04,Strain_a_Tension_0.4pct,0.4,-1,0.0011436700000001243,-0.003168070000000099,0.0026499899999999,0.004285684962045202,0.0002194
a,F04,Strain_a_Tension_0.5pct,0.5,-1,0.0013305500000001247,-0.004410170000000102,0.0037405900000001,0.00593396800459035,-0.0004427
a,F05,00_Optimized_Structure,0.0,1,0.0,0.0,0.0,0.0,0.00318708
a,F05,Strain_a_Tension_0.1pct,0.1,1,-0.00032693000000000305,-0.0008322000000001023,-0.0015557500000000996,0.0017943795940102757,0.00218542
a,F05,Strain_a_Tension_0.2pct,0.2,1,-0.000590330000000111,-0.0017486700000000008,-0.0018427600000000995,0.002608083720933916,0.00125968
a,F05,Strain_a_Tension_0.3pct,0.3,1,-0.0008573899999999857,-0.0026831900000001963,-0.0020440199999999997,0.0034803223914748227,0.00036893
