path,pair_id,family_plus,family_minus,strain_percent,dW_reduced,energy_plus_minus_EF_eV,energy_minus_minus_EF_eV,delta_energy_pair_eV
a,a_pair_01,F07,F04,0.0,0.056526119852939614,0.06023216,0.00402555,0.05620661
a,a_pair_01,F07,F04,0.1,0.05697914151772482,0.05902035,0.00299077,0.05602958
a,a_pair_01,F07,F04,0.2,0.056719529939132145,0.0577957,0.00202076,0.055774939999999995
a,a_pair_01,F07,F04,0.3,0.05648722094869777,0.05663103,0.00113055,0.05550048
a,a_pair_01,F07,F04,0.4,0.05657460569179507,0.05540115,0.0002194,0.05518175
a,a_pair_01,F07,F04,0.5,0.05631866046064205,0.05442609,-0.0004427,0.05486879
a,a_pair_02,F06,F01,0.0,0.05658920821772019,0.0601848,0.00399565,0.05618914999999999
a,a_pair_02,F06,F01,0.1,0.05695801136363255,0.0589735,0.00287102,0.056102479999999996
a,a_pair_02,F06,F01,0.2,0.05680247829332889,0.05780823,0.00195495,0.055853280000000005
a,a_pair_02,F06,F01,0.3,0.05659296112908471,0.05661951,0.00105816,0.055561349999999995
a,a_pair_02,F06,F01,0.4,0.05659206994410168,0.05533204,0.00010042,0.05523162
a,a_pair_02,F06,F01,0.5,0.05644371576617011,0.05440371,-0.00052585,0.05492956
a,a_pair_03,F05,F02,0.0,0.05753845146307033,0.00318708,0.05899433,-0.055807249999999996
a,a_pair_03,F05,F02,0.1,0.05735098036289436,0.00218542,0.05796364,-0.055778219999999996
a,a_pair_03,F05,F02,0.2,0.05724057255912191,0.00125968,0.05681064,-0.05555096
a,a_pair_03,F05,F02,0.3,0.057077342624443264,0.00036893,0.05563609,-0.055267159999999996
a,a_pair_03,F05,F02,0.4,0.05693728483810066,-0.00064429,0.05457114,-0.055215429999999996
a,a_pair_03,F05,F02,0.5,0.05690472703215091,-0.00130432,0.05366035,-0.05496467
a,a_pair_04,F08,F03,0.0,0.05754710178899022,0.00304302,0.0589698,-0.05592678
a,a_pair_04,F08,F03,0.1,0.057429587616493395,0.00215594,0.05793641,-0.05578047
a,a_pair_04,F08,F03,0.2,0.05730419258559349,0.00114386,0.05677307,-0.05562921
a,a_pair_04,F08,F03,0.3,0.05711942128627968,0.00024225,0.05563141,-0.05538916
a,a_pair_04,F08,F03,0.4,0.05701955902982845,-0.00070706,0.05455959,-0.05526665
a,a_pair_04,F08,F03,0.5,0.05692668032885631,-0.00144385,0.05362817,-0.05507202
