path,pair_id,family_plus,family_minus,strain_percent,dW_reduced,energy_plus_minus_EF_eV,energy_minus_minus_EF_eV,delta_energy_pair_eV
b,b_pair_01,F07,F04,0.0,0.056526119852939614,0.06023216,0.00402555,0.05620661
b,b_pair_01,F07,F04,0.1,0.05724744123369175,0.05979394,0.00357366,0.05622028
b,b_pair_01,F07,F04,0.2,0.057353409586484064,0.05924537,0.00322776,0.056017609999999995
b,b_pair_01,F07,F04,0.3,0.05728667365706679,0.05856923,0.00284894,0.05572029
b,b_pair_01,F07,F04,0.4,0.05731700845423269,0.05791095,0.0027928,0.055118150000000005
b,b_pair_01,F07,F04,0.5,0.05720155054496416,0.05726038,0.00241612,0.05484426
b,b_pair_02,F06,F01,0.0,0.05658920821772019,0.0601848,0.00399565,0.05618914999999999
b,b_pair_02,F06,F01,0.1,0.05727670826971552,0.05972662,0.00355538,0.056171240000000004
b,b_pair_02,F06,F01,0.2,0.057456003898835525,0.05921868,0.00316809,0.056050590000000004
b,b_pair_02,F06,F01,0.3,0.05737783353486424,0.05854518,0.00276255,0.05578263
b,b_pair_02,F06,F01,0.4,0.057313075626353356,0.05782187,0.00263905,0.05518282
b,b_pair_02,F06,F01,0.5,0.05734537436697924,0.05719439,0.00234332,0.054851069999999995
b,b_pair_03,F05,F02,0.0,0.05753845146307033,0.00318708,0.05899433,-0.055807249999999996
b,b_pair_03,F05,F02,0.1,0.05767200950813571,0.00283777,0.05850385,-0.05566608000000001
b,b_pair_03,F05,F02,0.2,0.05772011563407859,0.00246264,0.05785921,-0.05539657
b,b_pair_03,F05,F02,0.3,0.057725065182087774,0.00206083,0.05725154,-0.05519071
b,b_pair_03,F05,F02,0.4,0.05772630663229207,0.00179297,0.05696864,-0.05517567
b,b_pair_03,F05,F02,0.5,0.05768766585881166,0.00150988,0.05630888,-0.054799
b,b_pair_04,F08,F03,0.0,0.05754710178899022,0.00304302,0.0589698,-0.05592678
b,b_pair_04,F08,F03,0.1,0.05760940905856102,0.00273986,0.05847095,-0.05573109
b,b_pair_04,F08,F03,0.2,0.05775001072085866,0.00232145,0.0578597,-0.05553825
b,b_pair_04,F08,F03,0.3,0.05772577405048376,0.00199152,0.05727023,-0.055278709999999995
b,b_pair_04,F08,F03,0.4,0.05774807754161608,0.00181727,0.05692542,-0.055108149999999995
b,b_pair_04,F08,F03,0.5,0.05779237674955849,0.00137475,0.0563663,-0.05499155
