path,strain_percent,case_label,case_short,family_id,pair_id,chirality,k1_centered,k2_centered,k3_centered,tilt_ratio,tilt_ratio_window_min,tilt_ratio_window_max,tilt_ratio_window_std,typeII_flag,typeII_window_all,mean_cone_slope_eV_per_reduced_dk,condition_G,stability_indicator,recommended_usage
a,0.0,00_Optimized_Structure,0%,F01,a_pair_02,-1,-0.1287312099999999,0.04622064,0.0070492699999999,2.2408500181495685,2.2408237599824496,2.2408483768315026,1.0635627225344236e-05,True,True,1.1795003359978276,349.4517907100018,0.05349415907875071,supplementary
a,0.0,00_Optimized_Structure,0%,F02,a_pair_03,-1,-0.1222754699999999,-0.1025682599999999,0.0074444299999999,1.2713083047643758,1.2712884541383014,1.2713070640511253,8.040383853336192e-06,True,True,1.0491349229151714,419.3799517586374,0.048831061739048345,supplementary
a,0.0,00_Optimized_Structure,0%,F03,a_pair_04,-1,0.12228328,0.10249297,-0.0076273900000001,1.2707705778109304,1.2707511407834369,1.2707693629501198,7.872858447163013e-06,True,True,1.0521344756955522,419.58667343397286,0.048819031230017684,supplementary
a,0.0,00_Optimized_Structure,0%,F04,a_pair_01,-1,0.1287295499999999,-0.0462712199999999,-0.0070275099999999,2.2457219344641475,2.2456954514979217,2.245720279097534,1.072668157226345e-05,True,True,1.179350743551826,348.9875992917175,0.05352972377782888,supplementary
a,0.0,00_Optimized_Structure,0%,F05,a_pair_03,1,-0.12877157,-0.0453985599999999,0.00712902,2.1479468675173563,2.1479378870928163,2.1479463061249517,3.63739416284767e-06,True,True,1.1647174320467804,356.97316691784016,0.052927601530462845,supplementary
a,0.0,00_Optimized_Structure,0%,F06,a_pair_02,1,-0.1218222799999999,0.1023527399999999,0.00899671,1.2362143628619424,1.2361970935096467,1.2362132834735933,6.994843075387105e-06,True,True,1.090425613893416,325.0516757786965,0.055465610215332875,supplementary
a,0.0,00_Optimized_Structure,0%,F07,a_pair_01,1,0.1218044799999999,-0.1023374399999998,-0.00898317,1.2236972102293608,1.2236796688440619,1.2236961138370108,7.105028009407384e-06,True,True,1.0937744745448759,325.4671587738526,0.05543019592451087,supplementary
a,0.0,00_Optimized_Structure,0%,F08,a_pair_04,1,0.1287958,0.04531655,-0.0072912299999998,2.1454085047932745,2.1453999031847997,2.1454079670752737,3.4839560734875604e-06,True,True,1.1654598426221539,357.5996010548699,0.05288122257850265,supplementary
a,0.1,Strain_a_Tension_0.1pct,a +0.1%,F01,a_pair_02,-1,-0.1290950399999999,0.04665706,0.00494863,2.274018433888093,2.273993543194982,2.274016878043354,1.0081741206343105e-05,True,True,1.1809646736975015,339.11262350296425,0.05430352497597317,supplementary
a,0.1,Strain_a_Tension_0.1pct,a +0.1%,F02,a_pair_03,-1,-0.12248389,-0.1031658699999999,0.0075162399999999,1.2643287060733248,1.264309412501609,1.264327500174778,7.814749433172389e-06,True,True,1.0425289229548493,393.4399677439334,0.050415114991471575,supplementary
a,0.1,Strain_a_Tension_0.1pct,a +0.1%,F03,a_pair_04,-1,0.12249021,0.1031792099999999,-0.0076920199999999,1.269520164606554,1.2695012168737196,1.2695189803237081,7.674669356049078e-06,True,True,1.0410693150790413,391.596381372085,0.05053364964502377,supplementary
a,0.1,Strain_a_Tension_0.1pct,a +0.1%,F04,a_pair_01,-1,0.1290754499999999,-0.0467063699999998,-0.00495277,2.2750643009204383,2.275039193365358,2.275062731523589,1.016958107863771e-05,True,True,1.180584737912854,338.03489010450323,0.05439002218507675,supplementary
a,0.1,Strain_a_Tension_0.1pct,a +0.1%,F05,a_pair_03,1,-0.1290985,-0.04623076,0.0055732699999999,2.184240952775825,2.1842329372174567,2.184240451682666,3.2465764980942265e-06,True,True,1.1657503150158306,348.23066567023847,0.053587869796080066,supplementary
a,0.1,Strain_a_Tension_0.1pct,a +0.1%,F06,a_pair_02,1,-0.12210462,0.1030385799999999,0.00900736,1.2181652934542775,1.218147675037477,1.2181641922460473,7.136227833371885e-06,True,True,1.0822390928638044,309.79321134561553,0.05681513614322618,supplementary
a,0.1,Strain_a_Tension_0.1pct,a +0.1%,F07,a_pair_01,1,0.1220915599999999,-0.10310785,-0.0090418899999999,1.2181281979341376,1.2181102779006552,1.218127077873033,7.2583958274986085e-06,True,True,1.0807054170301686,310.33723056956757,0.05676531601092099,supplementary
a,0.1,Strain_a_Tension_0.1pct,a +0.1%,F08,a_pair_04,1,0.12909636,0.04616737,-0.0056508399999999,2.1790587102983716,2.1790509380773098,2.179058224417651,3.148015071894644e-06,True,True,1.1660754572487577,347.3695828581561,0.05365424727316698,supplementary
a,0.2,Strain_a_Tension_0.2pct,a +0.2%,F01,a_pair_02,-1,-0.1293578900000001,0.04757524,0.0047895999999999,2.3039541343720558,2.303930232463808,2.3039526403248476,9.681237440641284e-06,True,True,1.1790898693479273,327.93606376997957,0.055221145360476426,supplementary
a,0.2,Strain_a_Tension_0.2pct,a +0.2%,F02,a_pair_03,-1,-0.1227229699999998,-0.1039756899999999,0.00699912,1.2500955446908173,1.2500771944955418,1.2500943977555417,7.432639506409988e-06,True,True,1.0312611277161126,374.47424325644795,0.05167601600735058,supplementary
a,0.2,Strain_a_Tension_0.2pct,a +0.2%,F03,a_pair_04,-1,0.12273524,0.1039520899999999,-0.0073805399999999,1.2534512187675302,1.2534332532658028,1.2534500958769037,7.276821786812912e-06,True,True,1.0320046860055743,374.866218327788,0.051648991689226875,supplementary
a,0.2,Strain_a_Tension_0.2pct,a +0.2%,F04,a_pair_01,-1,0.12934798,-0.04766921,-0.0049037899999999,2.307154507817671,2.3071304167980102,2.3071530019533792,9.757837209473714e-06,True,True,1.1786758723458137,327.3475415784923,0.055270762772310106,supplementary
a,0.2,Strain_a_Tension_0.2pct,a +0.2%,F05,a_pair_03,1,-0.1293619000000001,-0.0471472299999999,0.0052862599999999,2.213073212521529,2.2130665871115336,2.2130727983170044,2.683503935974061e-06,True,True,1.1641995989347993,335.8562802293306,0.05456614379777268,supplementary
a,0.2,Strain_a_Tension_0.2pct,a +0.2%,F06,a_pair_02,1,-0.1223616,0.10378774,0.0090000999999999,1.2179755854039445,1.217958429164859,1.2179745130779303,6.949022698640089e-06,True,True,1.0702412681355271,297.36016402003304,0.05799073405979116,supplementary
a,0.2,Strain_a_Tension_0.2pct,a +0.2%,F07,a_pair_01,1,0.1223475,-0.10381177,-0.0089176800000001,1.2115830065113853,1.2115657075293904,1.2115819252639022,7.006839980763228e-06,True,True,1.0719468372953245,298.23953260442886,0.057905177200426865,supplementary
a,0.2,Strain_a_Tension_0.2pct,a +0.2%,F08,a_pair_04,1,0.12937862,0.04707329,-0.0052738599999999,2.2080406195961513,2.208034335036338,2.20804022669241,2.5454432505574936e-06,True,True,1.164820693715255,335.88159457700476,0.054564087519035125,supplementary
a,0.3,Strain_a_Tension_0.3pct,a +0.3%,F01,a_pair_02,-1,-0.12962391,0.04852926,0.0046562199999999,2.333997858724811,2.333974941613601,2.3339964262330257,9.28235093671868e-06,True,True,1.1772273995246902,317.7268509673969,0.05610131495637295,supplementary
a,0.3,Strain_a_Tension_0.3pct,a +0.3%,F02,a_pair_03,-1,-0.1229826,-0.10474899,0.00665753,1.2379542172160638,1.2379368795499486,1.237953133564814,7.022519182739022e-06,True,True,1.0208409660814535,360.0632285241739,0.05269999989597278,supplementary
a,0.3,Strain_a_Tension_0.3pct,a +0.3%,F03,a_pair_04,-1,0.1229851899999999,0.10470508,-0.007057,1.2419709902312255,1.241954236996687,1.2419699431066173,6.785797811739303e-06,True,True,1.0224137637372304,361.06432088355064,0.05262689077929832,supplementary
a,0.3,Strain_a_Tension_0.3pct,a +0.3%,F04,a_pair_01,-1,0.12961507,-0.0486235699999999,-0.00473002,2.338702595884099,2.338679363840418,2.3387011437066683,9.409912251483007e-06,True,True,1.1766890081127777,316.89315367326503,0.0561750634614492,supplementary
a,0.3,Strain_a_Tension_0.3pct,a +0.3%,F05,a_pair_03,1,-0.12962896,-0.0480817500000001,0.005085,2.242987824514905,2.242982686148562,2.242987503249488,2.0811824774723254e-06,True,True,1.162501444191513,324.57417330416894,0.055506394779417316,supplementary
a,0.3,Strain_a_Tension_0.3pct,a +0.3%,F06,a_pair_02,1,-0.1226210700000001,0.1045238699999999,0.0089372399999999,1.2133290290207481,1.2133124788960272,1.2133279945764903,6.7035176833018564e-06,True,True,1.0604001512560177,286.70392745447435,0.05905860424287638,supplementary
a,0.3,Strain_a_Tension_0.3pct,a +0.3%,F07,a_pair_01,1,0.12259894,-0.1045234699999999,-0.00882651,1.2049201293900424,1.2049034816519182,1.2049190888467243,6.743056062927561e-06,True,True,1.0629949150441222,287.2550875601161,0.0590019187795943,supplementary
