case_label,path,strain_percent,k1_centered,k2_centered,k3_centered,omega3_reduced,num_occupied,slice_mode
Strain_b_Tension_0.5pct,b,0.5,-0.1551334299999998,-0.1314928899999999,0.0,-14.814883843503607,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.1512548059999998,-0.1314928899999999,0.0,-15.689494934615649,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.1473761819999998,-0.1314928899999999,0.0,-17.222207378649813,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.1434975579999998,-0.1314928899999999,0.0,-19.95896379028566,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.1396189339999998,-0.1314928899999999,0.0,-24.65890939659491,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.1357403099999998,-0.1314928899999999,0.0,-31.807545349869564,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.1318616859999998,-0.1314928899999999,0.0,-40.023491378606806,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.12798306199999981,-0.1314928899999999,0.0,-44.756560743320186,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.12410443799999982,-0.1314928899999999,0.0,-41.75757840526798,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.12022581399999982,-0.1314928899999999,0.0,-32.19116107233877,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.11634718999999982,-0.1314928899999999,0.0,-21.20072216151811,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.11246856599999983,-0.1314928899999999,0.0,-13.184044498063788,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.10858994199999983,-0.1314928899999999,0.0,-8.856130080675126,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.10471131799999983,-0.1314928899999999,0.0,-6.882930398118717,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.10083269399999983,-0.1314928899999999,0.0,-6.0716721157182505,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.09695406999999984,-0.1314928899999999,0.0,-5.767930590832254,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.09307544599999984,-0.1314928899999999,0.0,-5.64407651471525,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.08919682199999984,-0.1314928899999999,0.0,-5.531380499728705,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.08531819799999985,-0.1314928899999999,0.0,-5.345653898293505,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.08143957399999985,-0.1314928899999999,0.0,-5.057312860070028,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.07756094999999985,-0.1314928899999999,0.0,-4.673976618157516,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.07368232599999985,-0.1314928899999999,0.0,-4.224419706300107,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.06980370199999986,-0.1314928899999999,0.0,-3.7438531374902917,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.06592507799999986,-0.1314928899999999,0.0,-3.2634008415813547,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.06204645399999986,-0.1314928899999999,0.0,-2.8050363758218886,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.058167829999999865,-0.1314928899999999,0.0,-2.3809839320956967,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.05428920599999987,-0.1314928899999999,0.0,-1.9955959392841143,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.05041058199999987,-0.1314928899999999,0.0,-1.6479734104115757,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.04653195799999987,-0.1314928899999999,0.0,-1.3343298237727943,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.042653333999999876,-0.1314928899999999,0.0,-1.0497396230783584,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.03877470999999988,-0.1314928899999999,0.0,-0.7892763505316229,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.03489608599999988,-0.1314928899999999,0.0,-0.5486809414245437,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.031017461999999885,-0.1314928899999999,0.0,-0.32471090011152315,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.027138837999999887,-0.1314928899999999,0.0,-0.11528424000024673,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.02326021399999989,-0.1314928899999999,0.0,0.08051061454651576,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.019381589999999893,-0.1314928899999999,0.0,0.2625005269620253,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.015502965999999896,-0.1314928899999999,0.0,0.4295901633755972,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.011624341999999899,-0.1314928899999999,0.0,0.5799907114528193,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.0077457179999999015,-0.1314928899999999,0.0,0.7115038926318644,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,-0.0038670939999999043,-0.1314928899999999,0.0,0.8218448943344354,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,1.1530000000092855e-05,-0.1314928899999999,0.0,0.9089805568469416,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.00389015400000009,-0.1314928899999999,0.0,0.9714531501083261,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.007768778000000087,-0.1314928899999999,0.0,1.0086578214021618,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.011647402000000084,-0.1314928899999999,0.0,1.0210445290774826,56,fixed_k3
Strain_b_Tension_0.5pct,b,0.5,0.015526026000000082,-0.1314928899999999,0.0,1.010222685474444,56,fixed_k3
