omega_eV,Re,Im
1.50000000,3364.94040000,-742.90372000
1.50500000,3357.82780000,-747.05873000
1.51000000,3352.04730000,-747.16951000
1.51500000,3342.58180000,-746.51709000
1.52000000,3328.25870000,-741.80958000
1.52500000,3305.83130000,-743.40527000
1.53000000,3290.00400000,-742.93339000
1.53500000,3267.95960000,-746.02962000
1.54000000,3252.13880000,-751.47486000
1.54500000,3243.93660000,-753.00978000
1.55000000,3224.81450000,-753.98500000
1.55500000,3203.62110000,-756.17051000
1.56000000,3180.16330000,-759.81223000
1.56500000,3155.22310000,-764.39223000
1.57000000,3128.53270000,-769.79065000
1.57500000,3098.45380000,-776.37471000
1.58000000,3065.82990000,-784.66238000
1.58500000,3029.54720000,-795.76992000
1.59000000,2994.86740000,-810.24638000
1.59500000,2964.01970000,-827.01248000
1.60000000,2939.80360000,-843.66126000
1.60500000,2914.07260000,-859.08555000
1.61000000,2890.89530000,-873.85579000
1.61500000,2859.78400000,-893.08202000
1.62000000,2838.95600000,-915.67764000
1.62500000,2828.05770000,-938.71705000
1.63000000,2823.82530000,-960.35817000
1.63500000,2840.61550000,-976.09820000
1.64000000,2831.83540000,-994.30021000
1.64500000,2844.29300000,-1006.59060000
1.65000000,2836.19740000,-1006.29030000
1.65500000,2815.16520000,-1019.95870000
1.66000000,2806.44140000,-1033.80930000
1.66500000,2796.90350000,-1044.55920000
1.67000000,2771.63610000,-1057.29780000
1.67500000,2749.97200000,-1075.13130000
1.68000000,2732.67290000,-1094.34830000
1.68500000,2718.42520000,-1114.22940000
1.69000000,2705.90900000,-1134.61030000
1.69500000,2699.89430000,-1154.53600000
1.70000000,2694.10000000,-1170.14730000
1.70500000,2677.32850000,-1184.33660000
1.71000000,2649.69630000,-1200.73570000
1.71500000,2617.29550000,-1224.47290000
1.72000000,2596.16280000,-1253.48410000
1.72500000,2585.98380000,-1282.90740000
1.73000000,2582.55970000,-1311.83800000
1.73500000,2584.37260000,-1339.10180000
1.74000000,2586.61750000,-1365.54410000
1.74500000,2589.98640000,-1391.13620000
1.75000000,2593.40250000,-1416.63320000
1.75500000,2597.10390000,-1441.76510000
1.76000000,2601.30260000,-1467.46270000
1.76500000,2608.76530000,-1493.91650000
1.77000000,2621.09550000,-1519.95640000
1.77500000,2635.07590000,-1544.41560000
1.78000000,2650.36340000,-1569.01630000
1.78500000,2670.17990000,-1592.19340000
1.79000000,2689.26990000,-1613.74410000
1.79500000,2709.64790000,-1633.49070000
1.80000000,2723.42250000,-1646.91350000
1.80500000,2730.81440000,-1665.85480000
1.81000000,2739.66040000,-1684.57250000
1.81500000,2745.25410000,-1702.39490000
1.82000000,2746.32210000,-1722.46880000
1.82500000,2752.26470000,-1744.60420000
1.83000000,2760.59860000,-1764.87700000
1.83500000,2770.78950000,-1787.47240000
1.84000000,2784.86290000,-1808.75820000
1.84500000,2800.88410000,-1828.30120000
1.85000000,2813.60490000,-1845.46690000
1.85500000,2817.48830000,-1864.06710000
1.86000000,2822.18130000,-1885.98000000
1.86500000,2831.14690000,-1910.14840000
1.87000000,2848.18880000,-1923.68830000
1.87500000,2855.42650000,-1943.93590000
1.88000000,2858.82950000,-1965.39290000
1.88500000,2867.55010000,-1989.05210000
1.89000000,2878.18460000,-2012.46350000
1.89500000,2889.78530000,-2035.43530000
1.90000000,2902.41940000,-2058.39640000
1.90500000,2916.04920000,-2080.54460000
1.91000000,2928.58600000,-2102.75220000
1.91500000,2940.47320000,-2125.68140000
1.92000000,2954.08100000,-2149.51700000
1.92500000,2970.35720000,-2173.78040000
1.93000000,2989.38940000,-2197.93000000
1.93500000,3010.92080000,-2221.76160000
1.94000000,3035.13250000,-2244.95960000
1.94500000,3060.54780000,-2267.30060000
1.95000000,3088.43690000,-2289.13320000
1.95500000,3118.52020000,-2310.36070000
1.96000000,3153.56420000,-2330.11040000
1.96500000,3189.35620000,-2346.18840000
1.97000000,3222.32400000,-2361.18190000
1.97500000,3251.50330000,-2373.35820000
1.98000000,3277.16410000,-2388.22260000
1.98500000,3303.19980000,-2403.76170000
1.99000000,3331.63900000,-2419.53590000
1.99500000,3362.25170000,-2434.57630000
2.00000000,3393.43070000,-2449.62950000
2.00500000,3428.35690000,-2464.38270000
2.01000000,3466.14160000,-2478.06800000
2.01500000,3507.70460000,-2490.50460000
2.02000000,3553.08480000,-2500.99470000
2.02500000,3600.52850000,-2508.67790000
2.03000000,3653.09020000,-2514.75910000
2.03500000,3721.98050000,-2513.86720000
2.04000000,3780.49250000,-2497.19770000
2.04500000,3829.12650000,-2482.23040000
2.05000000,3885.75830000,-2455.81220000
2.05500000,3898.82060000,-2406.65170000
2.06000000,3865.08800000,-2358.63380000
2.06500000,3785.11350000,-2352.61040000
2.07000000,3741.06920000,-2353.76980000
2.07500000,3709.70620000,-2354.41780000
2.08000000,3667.87280000,-2359.09680000
2.08500000,3634.48710000,-2370.30800000
2.09000000,3608.08880000,-2383.35780000
2.09500000,3586.52740000,-2398.19070000
2.10000000,3568.80110000,-2415.22400000
2.10500000,3557.80420000,-2434.12290000
2.11000000,3553.84980000,-2453.41220000
2.11500000,3553.45280000,-2472.61890000
2.12000000,3556.74820000,-2492.50510000
2.12500000,3567.06590000,-2512.22870000
2.13000000,3585.45700000,-2526.80330000
2.13500000,3594.75530000,-2541.53850000
2.14000000,3604.72730000,-2555.03720000
2.14500000,3606.01210000,-2568.68350000
2.15000000,3608.55150000,-2585.04920000
2.15500000,3610.67760000,-2603.26190000
2.16000000,3619.14000000,-2622.81240000
2.16500000,3630.66100000,-2641.29720000
2.17000000,3641.93630000,-2659.72660000
2.17500000,3655.32690000,-2678.71800000
