omega_eV,Re,Im
1.50000000,0.36756645,0.82812990
1.50500000,0.37734927,2.29300660
1.51000000,-0.23823633,2.55266070
1.51500000,-0.53191261,2.11805710
1.52000000,-0.75392393,1.86671060
1.52500000,-0.91753086,1.58712400
1.53000000,-0.95645699,1.10860500
1.53500000,-1.00649810,1.13805660
1.54000000,-1.12882100,0.84547465
1.54500000,-1.11787200,0.63157131
1.55000000,-1.25928000,0.08716525
1.55500000,-1.09937920,-0.35615989
1.56000000,-1.01624650,-0.39576035
1.56500000,-0.86728901,-0.44455125
1.57000000,-1.02337220,-0.50762189
1.57500000,-1.01819780,-1.00050720
1.58000000,-0.93370828,-1.06896700
1.58500000,-1.04758730,-1.46717390
1.59000000,-0.96892968,-2.26159600
1.59500000,-0.71801499,-2.66584530
1.60000000,-0.67294136,-3.10434700
1.60500000,-0.22163701,-4.03382140
1.61000000,0.43218828,-3.95629430
1.61500000,0.84716057,-3.36884000
1.62000000,1.18429530,-2.15667690
1.62500000,0.95173961,-1.55362370
1.63000000,1.00006610,-1.23714900
1.63500000,1.00204560,-1.16195860
1.64000000,1.03470890,-1.23902420
1.64500000,1.07138800,0.24530139
1.65000000,0.44660592,0.09647137
1.65500000,0.43018735,-0.47589014
1.66000000,0.41029595,-0.53797140
1.66500000,0.58543203,-0.87893362
1.67000000,0.80094082,-0.51514808
1.67500000,0.80299210,-0.13446113
1.68000000,0.80965564,-0.14679721
1.68500000,0.84326842,0.20029142
1.69000000,0.87298703,0.21301202
1.69500000,0.82553575,0.59098263
1.70000000,0.72099641,0.51670448
1.70500000,0.72426121,0.79751272
1.71000000,0.43466649,1.18981310
1.71500000,0.26032261,0.74364682
1.72000000,0.28090328,0.41420542
1.72500000,0.25784867,0.34188294
1.73000000,0.23157021,0.35321299
1.73500000,0.22843774,0.35298384
1.74000000,0.34568170,0.31078759
1.74500000,0.43513508,0.42493730
1.75000000,0.37235194,0.30166065
1.75500000,0.39150993,0.31078962
1.76000000,0.38331951,0.42174231
1.76500000,0.36168846,0.50968448
1.77000000,0.33897740,0.64043557
1.77500000,0.29029397,0.66455387
1.78000000,0.25083787,0.78473493
1.78500000,0.13676898,0.73893711
1.79000000,0.09681227,0.56294004
1.79500000,0.10341011,0.49585695
1.80000000,0.04143531,0.56143224
1.80500000,-0.03056864,0.51354787
1.81000000,-0.08861595,0.37136287
1.81500000,-0.08930634,0.14779033
1.82000000,-0.02621057,-0.01716690
1.82500000,0.06639868,0.03304806
1.83000000,0.09050044,0.13968868
1.83500000,0.09522534,0.23775991
1.84000000,0.06891006,-0.39683638
1.84500000,0.07684331,0.13727171
1.85000000,0.11480411,0.10734436
1.85500000,0.13075483,0.11914617
1.86000000,0.15861735,0.12292208
1.86500000,0.17215687,0.15698927
1.87000000,0.17922648,0.21759085
1.87500000,0.18624403,0.24991199
1.88000000,0.19368658,0.31010243
1.88500000,0.19177759,0.38051793
1.89000000,0.18614718,0.46655930
1.89500000,0.15090300,0.57209921
1.90000000,0.11682394,0.60433125
1.90500000,0.07409203,0.63067779
1.91000000,0.03357420,0.61590336
1.91500000,0.03597501,0.50455318
1.92000000,0.00762996,0.58290970
1.92500000,0.01142966,0.55959599
1.93000000,0.01054958,0.63028321
1.93500000,-0.03273457,0.71463183
1.94000000,-0.13069661,0.60584953
1.94500000,-0.10391809,0.41503735
1.95000000,-0.11065529,0.38354973
1.95500000,-0.15663238,0.16388679
1.96000000,-0.08824793,-0.00723239
1.96500000,0.00160715,0.07757541
1.97000000,0.01559748,0.21724341
1.97500000,0.00077475,0.18383546
1.98000000,0.05188941,0.17208575
1.98500000,0.08381428,0.44699932
1.99000000,-0.06930568,0.77692073
1.99500000,-0.04153494,0.20253945
2.00000000,-0.11423280,0.51628203
2.00500000,-0.17976327,0.45476148
2.01000000,-0.21367864,0.37142477
2.01500000,-0.18822386,0.25780984
2.02000000,-0.16394614,0.24398636
2.02500000,-0.15407199,0.47560226
2.03000000,-0.31473117,0.42183805
2.03500000,-0.36556311,0.21638029
2.04000000,-0.36044407,0.18812148
2.04500000,-0.28562504,-0.14911355
2.05000000,-0.14756464,-0.02398800
2.05500000,-0.11154713,0.20677515
2.06000000,-0.14215785,0.27238993
2.06500000,-0.17282254,0.33698871
2.07000000,-0.21340792,0.36222590
2.07500000,-0.22292901,0.40165885
2.08000000,-0.28572615,0.42543771
2.08500000,-0.36299991,0.42850024
2.09000000,-0.39469432,0.29375437
2.09500000,-0.41309855,0.18498960
2.10000000,-0.39254872,0.11230313
2.10500000,-0.34580644,0.10499313
2.11000000,-0.34081212,0.31968981
2.11500000,-0.29554022,0.24502585
2.12000000,-0.34972954,0.35171612
2.12500000,-0.37455236,0.25607534
2.13000000,-0.39012808,0.25611732
2.13500000,-0.47039033,0.10615587
