omega_eV,Re,Im
1.50000000,2597.02070000,-2858.37010000
1.50500000,2623.72750000,-2861.43360000
1.51000000,2653.71660000,-2864.60030000
1.51500000,2688.15070000,-2866.53220000
1.52000000,2732.28330000,-2866.82290000
1.52500000,2798.31860000,-2854.69980000
1.53000000,2792.12500000,-2827.71450000
1.53500000,2787.18330000,-2821.76100000
1.54000000,2789.41890000,-2819.96290000
1.54500000,2794.92740000,-2818.74630000
1.55000000,2798.72480000,-2819.06050000
1.55500000,2805.44150000,-2821.88120000
1.56000000,2818.47730000,-2825.68270000
1.56500000,2840.26630000,-2824.18700000
1.57000000,2849.63450000,-2822.75110000
1.57500000,2857.06460000,-2823.97430000
1.58000000,2868.40700000,-2826.12630000
1.58500000,2881.68900000,-2827.80770000
1.59000000,2894.90270000,-2829.61350000
1.59500000,2913.25410000,-2832.55560000
1.60000000,2940.67470000,-2831.68950000
1.60500000,2958.84700000,-2827.40620000
1.61000000,2973.50020000,-2822.98110000
1.61500000,2988.87480000,-2820.30600000
1.62000000,3004.74830000,-2816.64760000
1.62500000,3018.76990000,-2815.01730000
1.63000000,3046.18530000,-2814.48550000
1.63500000,3081.87660000,-2805.38270000
1.64000000,3117.60020000,-2795.74820000
1.64500000,3155.38960000,-2781.54820000
1.65000000,3161.80220000,-2751.31660000
1.65500000,3159.16710000,-2739.91330000
1.66000000,3177.05410000,-2730.44610000
1.66500000,3194.99790000,-2714.17680000
1.67000000,3210.12740000,-2694.41680000
1.67500000,3212.12610000,-2670.91210000
1.68000000,3198.08150000,-2646.15260000
1.68500000,3167.08900000,-2620.33920000
1.69000000,3105.71290000,-2600.63180000
1.69500000,3040.26620000,-2593.78780000
1.70000000,2979.94030000,-2595.32170000
1.70500000,2929.56290000,-2603.42110000
1.71000000,2889.81790000,-2615.37090000
1.71500000,2856.39430000,-2629.43730000
1.72000000,2832.50890000,-2644.38020000
1.72500000,2809.64660000,-2659.75390000
1.73000000,2792.80220000,-2672.43250000
1.73500000,2765.94560000,-2690.09360000
1.74000000,2749.53460000,-2709.23820000
1.74500000,2734.27410000,-2728.63230000
1.75000000,2723.09150000,-2749.45700000
1.75500000,2715.63510000,-2770.14190000
1.76000000,2709.22940000,-2790.37130000
1.76500000,2703.00460000,-2811.24140000
1.77000000,2699.42920000,-2832.78610000
1.77500000,2699.47810000,-2854.43480000
1.78000000,2701.14130000,-2875.03330000
1.78500000,2703.70820000,-2896.44330000
1.79000000,2712.22690000,-2916.97090000
1.79500000,2715.97540000,-2933.01030000
1.80000000,2714.75990000,-2952.56310000
1.80500000,2716.01450000,-2973.33050000
1.81000000,2719.53790000,-2994.37440000
1.81500000,2721.14300000,-3015.35400000
1.82000000,2725.52000000,-3037.93930000
1.82500000,2728.81880000,-3060.69570000
1.83000000,2737.09440000,-3086.00070000
1.83500000,2750.81660000,-3111.30530000
1.84000000,2769.00000000,-3135.57280000
1.84500000,2789.26950000,-3158.87540000
1.85000000,2806.47870000,-3177.57810000
1.85500000,2823.15270000,-3200.53980000
1.86000000,2837.89050000,-3222.35480000
1.86500000,2856.08790000,-3246.16760000
1.87000000,2876.15390000,-3270.45030000
1.87500000,2898.75240000,-3295.05720000
1.88000000,2924.24300000,-3320.09800000
1.88500000,2954.03240000,-3345.14290000
1.89000000,2988.99980000,-3369.58620000
1.89500000,3029.12440000,-3392.26000000
1.90000000,3069.29890000,-3413.30360000
1.90500000,3114.86450000,-3433.69630000
1.91000000,3170.57890000,-3451.76920000
1.91500000,3234.30480000,-3460.50500000
1.92000000,3280.23450000,-3467.27160000
1.92500000,3330.11450000,-3475.35250000
1.93000000,3385.26690000,-3480.26980000
1.93500000,3439.40450000,-3483.67810000
1.94000000,3503.33900000,-3479.34390000
1.94500000,3531.17450000,-3467.03830000
1.95000000,3551.40740000,-3464.17060000
1.95500000,3572.93140000,-3465.12100000
1.96000000,3599.37940000,-3467.66080000
1.96500000,3628.57400000,-3470.52520000
1.97000000,3662.31060000,-3472.71230000
1.97500000,3705.01270000,-3472.60140000
1.98000000,3746.03580000,-3463.84500000
1.98500000,3757.87020000,-3450.17390000
1.99000000,3752.05830000,-3446.61070000
1.99500000,3751.37650000,-3448.74090000
2.00000000,3756.85530000,-3454.84270000
2.00500000,3768.72940000,-3462.57580000
2.01000000,3788.43960000,-3468.59460000
2.01500000,3797.26960000,-3474.34630000
2.02000000,3807.46060000,-3481.45220000
2.02500000,3821.24180000,-3492.24340000
2.03000000,3839.49310000,-3503.90390000
2.03500000,3862.98660000,-3516.21480000
2.04000000,3891.43140000,-3528.39980000
2.04500000,3926.55180000,-3540.52850000
2.05000000,3969.54620000,-3550.52900000
2.05500000,4015.42070000,-3556.18110000
2.06000000,4060.11040000,-3558.88250000
2.06500000,4101.24070000,-3558.04000000
2.07000000,4134.20450000,-3556.40050000
2.07500000,4164.91530000,-3556.53150000
2.08000000,4199.98140000,-3555.50740000
2.08500000,4232.53940000,-3554.66260000
2.09000000,4266.21350000,-3552.76070000
2.09500000,4298.72930000,-3551.63540000
2.10000000,4335.35710000,-3549.76250000
2.10500000,4379.02130000,-3544.29040000
2.11000000,4407.15110000,-3533.22160000
2.11500000,4430.27180000,-3526.18530000
2.12000000,4452.55210000,-3520.06280000
2.12500000,4474.19680000,-3514.97200000
2.13000000,4497.01170000,-3508.54600000
2.13500000,4519.89660000,-3503.04800000
2.14000000,4540.78480000,-3496.45620000
2.14500000,4559.47310000,-3490.66810000
2.15000000,4579.02200000,-3486.18740000
2.15500000,4601.87540000,-3481.01610000
2.16000000,4625.38670000,-3474.51050000
2.16500000,4649.37410000,-3466.58700000
2.17000000,4670.21740000,-3456.45820000
2.17500000,4698.37250000,-3441.62390000
2.18000000,4685.98670000,-3423.01440000
2.18500000,4683.66550000,-3418.01230000
2.19000000,4695.71260000,-3412.21250000
2.19500000,4707.02720000,-3392.35850000
2.20000000,4673.23700000,-3381.16840000
2.20500000,4652.67180000,-3382.84750000
2.21000000,4643.52630000,-3386.94770000
2.21500000,4643.03310000,-3393.53400000
2.22000000,4674.58440000,-3401.42660000
2.22500000,4655.12030000,-3356.39110000
2.23000000,4617.71300000,-3366.81510000
2.23500000,4606.37750000,-3378.84730000
2.24000000,4603.94970000,-3391.08200000
2.24500000,4608.18490000,-3403.26780000
2.25000000,4617.59810000,-3414.26580000
2.25500000,4635.30050000,-3422.70960000
2.26000000,4646.25730000,-3431.29510000
2.26500000,4663.84690000,-3442.33000000
2.27000000,4688.74940000,-3452.19870000
2.27500000,4717.19120000,-3459.96050000
2.28000000,4743.82680000,-3464.65850000
2.28500000,4766.08970000,-3469.83550000
2.29000000,4789.08490000,-3476.29540000
2.29500000,4814.29190000,-3482.42890000
2.30000000,4837.46730000,-3489.16510000
