omega_eV,Re,Im
1.50000000,-9.10589910,20.17545000
1.50500000,-10.27344600,21.92737800
1.51000000,-11.84274500,22.79330100
1.51500000,-14.59294700,23.49106400
1.52000000,-17.57704500,24.26144600
1.52500000,-21.41827900,23.83302500
1.53000000,-23.70267400,23.50709600
1.53500000,-26.35450000,22.56269200
1.54000000,-27.37710400,21.69150400
1.54500000,-28.00107800,21.31506000
1.55000000,-29.30250800,21.04276400
1.55500000,-31.45521400,20.84133300
1.56000000,-32.49438400,18.37828600
1.56500000,-32.59131700,18.19048000
1.57000000,-33.36695800,17.61699200
1.57500000,-33.94204600,16.97976500
1.58000000,-34.71279400,16.35700100
1.58500000,-35.81622200,15.58098600
1.59000000,-36.67857400,14.68736800
1.59500000,-37.91890500,13.89510800
1.60000000,-40.55092800,12.11201700
1.60500000,-40.11045500,10.14449300
1.61000000,-38.84685100,8.52152940
1.61500000,-36.93101500,7.45119650
1.62000000,-34.14602600,7.06256910
1.62500000,-32.19760300,7.67249960
1.63000000,-33.71748800,8.73667860
1.63500000,-37.09798700,8.76000760
1.64000000,-41.56307700,7.90390670
1.64500000,-44.48455200,6.00818400
1.65000000,-46.58025500,4.57829240
1.65500000,-49.76259000,2.83775440
1.66000000,-52.88428100,0.38610849
1.66500000,-54.25872200,-3.50982460
1.67000000,-51.12997100,-6.52892100
1.67500000,-47.45916700,-8.39769510
1.68000000,-44.98752200,-9.36294650
1.68500000,-43.62330700,-11.00110500
1.69000000,-41.08690300,-13.00750300
1.69500000,-37.36196300,-14.55200600
1.70000000,-33.33928300,-15.45890600
1.70500000,-29.38302700,-16.06669500
1.71000000,-26.71987500,-15.89291500
1.71500000,-24.74831300,-16.35478600
1.72000000,-22.56197900,-16.19966600
1.72500000,-21.47330000,-15.88875200
1.73000000,-20.88484000,-15.89121400
1.73500000,-20.14397300,-15.68484500
1.74000000,-19.61174900,-15.73496200
1.74500000,-18.88674900,-15.71147700
1.75000000,-18.24769200,-15.55976400
1.75500000,-17.92379400,-15.48843100
1.76000000,-17.61495300,-15.61017500
1.76500000,-16.82939600,-15.90420800
1.77000000,-15.34055600,-16.10762100
1.77500000,-13.78546700,-15.97747000
1.78000000,-12.82458100,-15.64119800
1.78500000,-12.43201700,-15.36537000
1.79000000,-12.09288900,-15.35092600
1.79500000,-11.49748800,-15.42585100
1.80000000,-10.60444600,-15.42663600
1.80500000,-9.75766990,-15.34014200
1.81000000,-8.68829800,-15.19999000
1.81500000,-7.72929890,-14.93835700
1.82000000,-7.13983000,-14.61121500
1.82500000,-6.99423830,-14.29074500
1.83000000,-6.96982990,-14.12740800
1.83500000,-6.78711010,-14.07997400
1.84000000,-6.22660740,-13.94467100
1.84500000,-5.66401910,-13.64753300
1.85000000,-5.55231110,-13.27411200
1.85500000,-5.53423170,-13.03672800
1.86000000,-5.47124820,-12.81765400
1.86500000,-5.44166880,-12.55372200
1.87000000,-5.63169720,-12.34530100
1.87500000,-5.89357310,-12.23955800
1.88000000,-5.95250440,-12.19600300
1.88500000,-5.95337810,-12.13928400
1.89000000,-5.95180770,-12.14488700
1.89500000,-5.87621880,-12.17533900
1.90000000,-5.66933430,-12.24825800
1.90500000,-5.26172950,-12.28212400
1.91000000,-4.97207580,-12.28720600
1.91500000,-4.59148900,-12.40187300
1.92000000,-3.81700220,-12.52880400
1.92500000,-2.94691150,-12.49775800
1.93000000,-1.74165210,-12.52470100
1.93500000,-0.32038568,-12.34486700
1.94000000,0.95596035,-12.02658900
1.94500000,2.22680750,-11.55269800
1.95000000,2.65221190,-10.63528300
1.95500000,4.07803070,-11.07628000
1.96000000,4.50198670,-10.32415400
1.96500000,5.03285440,-9.86801470
1.97000000,5.52749940,-9.39116410
1.97500000,5.70452670,-8.83570620
1.98000000,5.58006520,-8.34352210
1.98500000,5.37344030,-8.04260880
1.99000000,5.57616440,-7.85699180
1.99500000,5.64372650,-7.31711750
2.00000000,5.40652050,-7.01758080
2.00500000,5.24513160,-6.79778190
2.01000000,5.46145220,-6.53614390
2.01500000,5.41462700,-6.07739940
2.02000000,4.84170560,-6.02081700
2.02500000,4.92758990,-6.17855550
2.03000000,5.80597700,-6.32810730
2.03500000,7.06380190,-5.83784200
2.04000000,7.30289820,-5.33511300
2.04500000,7.23811540,-4.68254510
2.05000000,6.59643420,-4.30245840
2.05500000,6.20904750,-4.12230870
2.06000000,5.90488580,-3.94533140
2.06500000,5.65068650,-3.86416490
2.07000000,5.55646270,-3.75789910
2.07500000,5.40477520,-3.56699210
2.08000000,4.54908680,-3.46164090
2.08500000,4.18307900,-3.68188520
2.09000000,3.94165410,-3.71784010
2.09500000,3.64029020,-3.99109110
2.10000000,4.59115170,-4.43479920
2.10500000,5.01322480,-2.40956940
2.11000000,0.37788072,-3.40892340
2.11500000,1.99609720,-5.02772400
2.12000000,5.62782380,-5.43707710
2.12500000,7.59237120,-4.66526290
2.13000000,8.05331680,-4.12912270
2.13500000,8.29224280,-3.56089830
2.14000000,8.12703260,-3.00897730
2.14500000,7.58166870,-2.54125090
2.15000000,6.84324160,-2.33760310
2.15500000,6.48065500,-2.36788220
2.16000000,6.60129270,-2.43297910
2.16500000,7.16358720,-2.63959910
2.17000000,9.22710850,-2.38391510
2.17500000,10.30448200,-1.24448020
2.18000000,9.37984150,-0.47167768
2.18500000,9.13642310,-0.05307730
2.19000000,9.45898690,0.52508840
2.19500000,8.74977060,1.21681230
2.20000000,7.41455240,1.46514870
2.20500000,7.09888270,1.21789200
2.21000000,7.39084680,1.42810350
2.21500000,8.19858340,0.84859313
2.22000000,9.93709150,2.91925420
2.22500000,10.63953500,2.91736750
2.23000000,11.39036000,3.93963190
2.23500000,11.78575600,5.01380410
2.24000000,9.36673010,6.77077420
2.24500000,6.06765230,7.25945290
2.25000000,3.05961870,6.73394310
2.25500000,2.64464440,5.70476010
2.26000000,3.04930230,5.46946230
2.26500000,2.87045270,5.67987080
2.27000000,2.18925370,5.54730660
2.27500000,2.04510320,5.44663510
2.28000000,1.82226480,5.38758940
2.28500000,1.47180470,5.07392660
2.29000000,2.00494160,4.93720630
2.29500000,2.43356140,4.94320770
2.30000000,2.74547600,5.24996920
2.30500000,2.67917940,5.62404640
2.31000000,2.29471450,5.82630310
2.31500000,2.03142190,6.08804330
2.32000000,1.18751360,6.54124440
