omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
1.5,3431.2213,-794.72585,2610.0352,-2862.496,-6.7424745,21.5081081,-11.4693237,18.8427919
1.505,3411.0152,-786.59245,2636.0753,-2864.467,-8.2085545,25.5904933,-12.3383375,18.2642627
1.51,3392.5067,-785.42586,2668.0573,-2866.5808,-10.5647339,27.2905886,-13.1207561,18.2960134
1.515,3386.8418,-782.61632,2709.3246,-2867.0428,-14.1313605,28.3548664,-15.0545335,18.6272616
1.52,3373.9446,-776.20332,2766.2801,-2861.1682,-17.84042798,28.2626714,-17.31366202,20.2602206
1.525,3351.3574,-770.88046,2797.2381,-2835.8284,-21.99458084,26.7469437,-20.84197716,20.9191063
1.53,3321.1162,-770.05133,2790.4039,-2824.0737,-24.34747614,25.8516329,-23.05787186,21.1625591
1.535,3297.9801,-773.25978,2792.1683,-2819.4126,-26.94932226,24.3871453,-25.75967774,20.7382387
1.54,3282.3981,-777.80187,2797.1377,-2817.3088,-27.99855538,23.4934131,-26.75565262,19.8895949
1.545,3267.923,-777.84105,2803.5045,-2815.9896,-28.69364954,22.7655011,-27.30850646,19.8646189
1.55,3244.893,-780.32086,2810.3545,-2816.8736,-30.08010367,22.1526289,-28.52491233,19.9328991
1.555,3223.0563,-784.39583,2822.6635,-2819.1739,-32.28847003,21.61516251,-30.62195797,20.06750349
1.56,3198.3741,-787.51893,2839.2294,-2817.1413,-33.22473681,19.07136525,-31.76403119,17.68520675
1.565,3170.8352,-794.06136,2851.5769,-2815.0059,-33.34471996,18.71285992,-31.83791404,17.66810008
1.57,3145.6614,-802.08188,2858.8433,-2814.7095,-34.18601637,17.97078878,-32.54789963,17.26319522
1.575,3120.3291,-810.59938,2867.6684,-2815.706,-34.66055138,16.96118336,-33.22354062,16.99834664
1.58,3094.5325,-820.59057,2879.6469,-2817.219,-35.39681419,16.321815,-34.02877381,16.392187
1.585,3069.7194,-832.02976,2892.4225,-2818.3386,-36.52208711,15.26270989,-35.11035689,15.89926211
1.59,3046.2703,-844.23948,2907.8715,-2820.0335,-37.38118397,14.06879053,-35.97596403,15.30594547
1.595,3025.7089,-855.05515,2928.8325,-2820.5323,-38.61313907,12.8160785,-37.22467093,14.9741375
1.6,2998.0761,-864.94203,2948.109,-2818.0403,-40.95711337,10.827201,-40.14474263,13.396833
1.605,2963.6696,-879.61504,2966.9851,-2815.3723,-40.35056371,8.4637774,-39.87034629,11.8252086
1.61,2934.6816,-898.26014,2981.8911,-2811.1884,-38.60516998,6.8847559,-39.08853202,10.1583029
1.615,2910.9967,-918.8172,2995.8331,-2807.3831,-36.3215434,6.8908741,-37.5404866,8.0115189
1.62,2896.5564,-941.18546,3010.736,-2805.5882,-33.67309797,7.23325753,-34.61895403,6.89188067
1.625,2892.4844,-962.49954,3031.8885,-2804.5867,-32.16503998,8.16319207,-32.23016602,7.18180713
1.63,2896.0937,-981.86568,3062.0593,-2802.2989,-33.72250119,8.77173225,-33.71247481,8.70162495
1.635,2907.3558,-993.95766,3100.767,-2792.3591,-37.01565727,8.38038807,-37.18031673,9.13962713
1.64,2915.5592,-1004.3417,3139.2953,-2775.8514,-41.39621837,7.95243289,-41.72993563,7.85538051
1.645,2920.6592,-1011.0661,3156.9837,-2754.9112,-44.42839161,6.41223377,-44.54071239,5.60413423
1.65,2917.6892,-1009.8113,3164.1528,-2739.0164,-46.84851802,4.77657866,-46.31199198,4.38000614
1.655,2884.9031,-1014.4795,3183.3295,-2722.2449,-49.93094514,2.68863333,-49.59423486,2.98687547
1.66,2853.878,-1028.2748,3192.8683,-2705.2699,-52.97562789,0.15841314,-52.79293411,0.61380384
1.665,2831.4726,-1043.4832,3200.6431,-2685.3354,-54.33502188,-3.84650748,-54.18242212,-3.17314172
1.67,2809.6069,-1061.0697,3197.4316,-2664.7896,-51.12076488,-7.00360917,-51.13917712,-6.05423283
1.675,2793.3235,-1080.0511,3185.6654,-2644.5172,-47.3386297,-8.97497455,-47.5797043,-7.82041565
1.68,2779.5095,-1097.9096,3159.5078,-2621.2732,-44.63794268,-9.7177503,-45.33710132,-9.0081427
1.685,2766.9911,-1116.7101,3111.6811,-2602.8813,-43.34533249,-10.99013798,-43.90128151,-11.01207202
1.69,2758.2991,-1134.2873,3050.4595,-2593.225,-40.80625876,-13.03425082,-41.36754724,-12.98075518
1.695,2746.9192,-1148.2734,2991.6685,-2592.6405,-37.03434139,-14.49320451,-37.68958461,-14.61080749
1.7,2720.4476,-1161.824,2936.8068,-2598.1769,-32.97827128,-15.15840858,-33.70029472,-15.75940342
1.705,2686.0262,-1183.1195,2894.3362,-2609.2647,-29.17607444,-15.29682947,-29.58997956,-16.83656053
1.71,2660.5858,-1208.7387,2863.6093,-2622.6726,-26.6992924,-15.5523092,-26.7404576,-16.2335208
1.715,2638.7068,-1237.3164,2835.36,-2633.6781,-24.57076018,-16.29711377,-24.92586582,-16.41245823
1.72,2629.3878,-1266.5822,2808.5019,-2649.2718,-22.35002294,-16.04121538,-22.77393506,-16.35811662
