omega_eV,Re,Im
1.50000000,-5.62873870,2.29886520
1.50500000,-6.86568570,2.49728470
1.51000000,-7.34877010,2.37448050
1.51500000,-7.38248930,2.51903250
1.52000000,-7.75993780,2.70258800
1.52500000,-7.62778580,2.77469410
1.53000000,-7.92678050,3.04401870
1.53500000,-8.49410800,3.16709890
1.54000000,-8.09150660,2.80141150
1.54500000,-7.68826170,3.05102560
1.55000000,-7.78835780,3.60087950
1.55500000,-7.99523640,3.41196420
1.56000000,-8.05163340,3.68353840
1.56500000,-8.55470210,3.99116550
1.57000000,-9.42196930,4.20068690
1.57500000,-10.60271800,4.21804990
1.58000000,-10.65424900,3.67600130
1.58500000,-10.47742500,3.64297760
1.59000000,-10.35117200,3.86785560
1.59500000,-10.84654200,4.34031690
1.60000000,-12.41231600,4.52156600
1.60500000,-14.65997700,4.59528760
1.61000000,-16.92473100,4.11637970
1.61500000,-20.34571600,3.13868300
1.62000000,-18.84595900,1.00466260
1.62500000,-16.84042800,0.43861467
1.63000000,-16.36997300,0.29983650
1.63500000,-16.57991800,0.04275430
1.64000000,-17.88154500,-0.70325770
1.64500000,-17.40910200,-1.37844240
1.65000000,-18.07242800,-2.41596460
1.65500000,-15.79440500,-2.71693970
1.66000000,-16.46862200,-2.18295420
1.66500000,-18.07123700,-3.08295220
1.67000000,-18.24713700,-4.34156610
1.67500000,-16.75976600,-5.07305610
1.68000000,-15.47006500,-5.62666360
1.68500000,-13.88516600,-5.76256240
1.69000000,-13.05277500,-5.90356830
1.69500000,-12.79773600,-6.15860740
1.70000000,-11.57131500,-6.60726900
1.70500000,-10.43724200,-6.88656090
1.71000000,-9.44063220,-7.08806000
1.71500000,-8.21775310,-7.57061650
1.72000000,-6.15285060,-7.66388030
1.72500000,-4.69586050,-7.34542780
1.73000000,-3.94816660,-6.70812680
1.73500000,-4.06357660,-6.32645800
1.74000000,-4.00126180,-6.18855500
1.74500000,-3.92496310,-5.76369340
1.75000000,-4.24253200,-5.51456070
1.75500000,-4.41314910,-5.28324900
1.76000000,-4.56292820,-5.01762240
1.76500000,-4.77838050,-4.85803980
1.77000000,-5.13734880,-4.56776140
1.77500000,-5.51041600,-4.54162380
1.78000000,-5.53383060,-4.38833900
1.78500000,-6.03438440,-4.41015140
1.79000000,-6.32608680,-4.63977420
1.79500000,-5.79893430,-4.93861440
1.80000000,-4.77945310,-4.97755680
1.80500000,-4.02681860,-4.56798530
1.81000000,-4.28523180,-4.17431830
1.81500000,-4.17413340,-4.31623530
1.82000000,-4.09663050,-4.17292390
1.82500000,-3.91211450,-4.15779610
1.83000000,-3.77152300,-4.03005500
1.83500000,-3.63850540,-3.93822800
1.84000000,-2.91494880,-3.89745950
1.84500000,-2.79108710,-3.49666540
1.85000000,-2.85864010,-3.14911500
1.85500000,-3.09589470,-2.96794410
1.86000000,-3.29845860,-2.65894340
1.86500000,-3.80122410,-2.48544910
1.87000000,-4.17511800,-2.33468640
1.87500000,-4.58816160,-2.17420440
1.88000000,-5.04621490,-2.09632200
1.88500000,-5.36355270,-2.09122350
1.89000000,-5.47778780,-2.09163690
1.89500000,-5.25727800,-1.84937200
1.90000000,-5.81233460,-1.68390520
1.90500000,-6.27874890,-1.70464510
1.91000000,-6.30102550,-1.78328300
1.91500000,-6.13832240,-1.72686660
1.92000000,-6.18508820,-1.62076980
1.92500000,-6.23971890,-1.52974630
1.93000000,-6.20964200,-1.41423040
1.93500000,-6.27280180,-1.07254450
1.94000000,-7.44506810,-0.96759910
1.94500000,-7.92564690,-1.08395100
1.95000000,-8.65145130,-1.10313920
1.95500000,-8.77231030,-1.82129240
