omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
1.5,3307.5056,-690.83602,2569.4505,-2830.0426,-7.5211046,4.5174645,-3.7363728,0.0802658999999997
1.505,3291.4579,-693.14657,2594.0815,-2833.1996,-8.9017377,5.3181736,-4.8296337,-0.3236042
1.51,3276.932,-694.24864,2621.52,-2834.0241,-10.1655475,4.3978488,-4.5319927,0.3511122
1.515,3258.6903,-694.07001,2644.3221,-2831.5592,-10.338631,2.79927137,-4.4263476,2.23879363
1.52,3238.6409,-695.35104,2662.5901,-2829.5095,-10.4146756,1.3999431,-5.1052,4.0052329
1.525,3214.9846,-696.0251,2674.4642,-2827.9802,-9.7378868,1.91230495,-5.5176848,3.63708325
1.53,3188.0533,-698.31876,2689.3972,-2828.7548,-10.121127,1.9931672,-5.732434,4.0948702
1.535,3161.8524,-705.23105,2704.0355,-2828.7121,-10.4471032,1.5665946,-6.5411128,4.7676032
1.54,3144.0745,-713.35322,2715.8391,-2828.4903,-9.9033952,1.2837151,-6.279618,4.3191079
1.545,3131.1431,-719.95985,2727.8694,-2827.8268,-9.4246607,1.4359521,-5.9518627,4.6660991
1.55,3114.8426,-723.90537,2735.2277,-2830.2036,-9.4041397,1.9792503,-6.1725759,5.2225087
1.555,3091.8892,-727.96057,2745.1827,-2832.0666,-9.6093074,1.7687859,-6.3811654,5.0551425
1.56,3064.8364,-733.69055,2753.0769,-2835.5428,-9.6445555,1.9045139,-6.4587113,5.4625629
1.565,3033.7714,-741.11847,2764.0448,-2840.6178,-10.1543164,1.9834352,-6.9550878,5.9988958
1.57,2999.8002,-751.00358,2778.9207,-2845.9338,-10.9424961,1.9411439,-7.9014425,6.4602299
1.575,2966.2401,-763.01241,2798.3781,-2850.2311,-12.0745296,1.7355932,-9.1309064,6.7005066
1.58,2931.9707,-775.80878,2819.1842,-2851.3031,-11.8536773,0.8715204,-9.4548207,6.4804822
1.585,2897.1556,-791.26811,2833.137,-2850.953,-11.38567763,1.4235892,-9.56917237,5.862366
1.59,2866.233,-808.44323,2845.1391,-2852.6646,-11.31603887,2.230038,-9.38630513,5.5056732
1.595,2835.866,-826.04226,2859.1517,-2854.6927,-12.0343508,2.941499,-9.6587332,5.7391348
1.6,2805.126,-846.00728,2874.1842,-2856.0824,-13.7820211,2.9063002,-11.0426109,6.1368318
1.605,2780.208,-867.85096,2891.693,-2858.1267,-16.1550714,2.3165463,-13.1648826,6.8740289
1.61,2759.8423,-889.37682,2915.5487,-2858.5233,-18.3994176,1.0415604,-15.4500444,7.191199
1.615,2742.7869,-911.02352,2936.2539,-2856.5949,-21.20723341,-0.8601263,-19.48419859,7.1374923
1.62,2724.25,-932.98036,2957.26,-2854.4756,-19.55403471,-3.105123,-18.13788329,5.1144482
1.625,2717.1879,-957.9717,2987.2215,-2853.2652,-17.10322293,-6.25162753,-16.57763307,7.12885687
1.63,2719.5888,-977.99758,3016.3402,-2841.7252,-14.7469985,-5.2641578,-17.9929475,5.8638308
1.635,2724.0494,-995.83972,3042.5547,-2833.3408,-12.6718901,-2.4049209,-20.4879459,2.4904295
1.64,2720.9092,-1006.1174,3066.909,-2816.3304,-17.65803767,6.8674212,-18.10505233,-8.2739366
1.645,2704.503,-1024.4028,3073.2765,-2806.596,-19.0252715,1.0947683,-15.7929325,-3.8516531
1.65,2697.3453,-1043.8758,3083.9849,-2795.3426,-19.4634525,-2.89901179,-16.6814035,-1.93291741
1.655,2698.2623,-1064.7473,3094.2555,-2787.6226,-17.0305143,-3.7129366,-14.5582957,-1.7209428
1.66,2710.5913,-1082.036,3106.5124,-2779.8422,-17.4841419,-4.4163956,-15.4531021,0.0504871999999996
