omega_eV,Re,Im
1.50000000,3311.92380000,-686.36416000
1.50500000,3293.33780000,-688.31765000
1.51000000,3276.93380000,-688.17814000
1.51500000,3254.95270000,-687.46315000
1.52000000,3230.03680000,-688.77817000
1.52500000,3209.29880000,-689.40838000
1.53000000,3174.82840000,-690.63613000
1.53500000,3148.58160000,-698.08439000
1.54000000,3129.81670000,-706.07456000
1.54500000,3113.38810000,-711.48558000
1.55000000,3091.00730000,-715.50475000
1.55500000,3062.93090000,-720.69611000
1.56000000,3030.79450000,-728.01238000
1.56500000,2995.89410000,-737.50478000
1.57000000,2959.25640000,-749.27442000
1.57500000,2922.47630000,-763.19671000
1.58000000,2886.48700000,-779.15693000
1.58500000,2852.96060000,-797.20610000
1.59000000,2826.68340000,-816.04732000
1.59500000,2792.91870000,-833.43895000
1.60000000,2761.98040000,-855.54624000
1.60500000,2736.42750000,-879.27384000
1.61000000,2717.24980000,-903.81443000
1.61500000,2703.80880000,-927.87964000
1.62000000,2691.26660000,-950.49815000
1.62500000,2685.06370000,-975.20988000
1.63000000,2696.11580000,-998.88580000
1.63500000,2695.25770000,-1007.44860000
1.64000000,2686.58790000,-1026.05550000
1.64500000,2679.14990000,-1043.00450000
1.65000000,2677.29930000,-1062.07470000
1.65500000,2675.08250000,-1079.78490000
1.66000000,2673.95090000,-1099.22310000
1.66500000,2686.98690000,-1115.64220000
1.67000000,2689.65570000,-1121.69500000
1.67500000,2669.18420000,-1133.48920000
1.68000000,2654.34680000,-1150.19940000
1.68500000,2642.56260000,-1167.81970000
1.69000000,2631.75720000,-1186.03030000
1.69500000,2623.73680000,-1203.89150000
1.70000000,2614.37240000,-1220.24760000
1.70500000,2601.53860000,-1236.39470000
1.71000000,2585.33120000,-1252.94350000
1.71500000,2565.56860000,-1271.93880000
1.72000000,2543.25990000,-1292.74390000
1.72500000,2520.37750000,-1318.19240000
1.73000000,2505.32910000,-1347.32020000
1.73500000,2496.39780000,-1376.31020000
1.74000000,2494.48860000,-1407.00620000
1.74500000,2500.55810000,-1436.46020000
1.75000000,2511.49570000,-1464.17690000
1.75500000,2526.57100000,-1489.99000000
1.76000000,2539.80910000,-1511.65030000
1.76500000,2549.77340000,-1533.25830000
1.77000000,2556.92040000,-1554.55530000
1.77500000,2562.34170000,-1576.31980000
1.78000000,2567.37210000,-1598.70210000
1.78500000,2572.77930000,-1621.43750000
1.79000000,2577.87510000,-1644.81610000
1.79500000,2584.85680000,-1669.26920000
1.80000000,2593.90110000,-1694.28160000
1.80500000,2607.73780000,-1719.46970000
1.81000000,2626.13050000,-1743.64090000
1.81500000,2646.93450000,-1765.43680000
1.82000000,2666.63360000,-1785.51860000
1.82500000,2686.09760000,-1804.43300000
1.83000000,2702.13980000,-1821.28230000
1.83500000,2713.53550000,-1838.90290000
1.84000000,2723.33200000,-1857.45890000
1.84500000,2734.12690000,-1877.12710000
1.85000000,2745.42590000,-1897.39740000
1.85500000,2759.67020000,-1917.43690000
1.86000000,2771.75160000,-1937.00020000
1.86500000,2785.43450000,-1957.07110000
1.87000000,2796.71180000,-1975.73760000
1.87500000,2807.19320000,-1997.00320000
1.88000000,2819.69870000,-2018.35020000
1.88500000,2833.16730000,-2039.56970000
1.89000000,2847.03840000,-2060.29910000
1.89500000,2859.29950000,-2080.10400000
1.90000000,2869.15250000,-2101.33780000
1.90500000,2880.14110000,-2123.73290000
1.91000000,2892.83330000,-2146.72040000
1.91500000,2907.65370000,-2170.05910000
1.92000000,2924.57770000,-2193.57780000
1.92500000,2945.15300000,-2216.95200000
1.93000000,2968.70200000,-2239.17690000
1.93500000,2993.34900000,-2260.41200000
1.94000000,3019.41070000,-2280.75780000
1.94500000,3047.42940000,-2300.05990000
1.95000000,3075.75130000,-2317.28690000
1.95500000,3100.61500000,-2333.37470000
1.96000000,3121.76740000,-2349.87130000
1.96500000,3143.34960000,-2367.51570000
1.97000000,3165.90500000,-2385.88120000
1.97500000,3190.30100000,-2404.55740000
1.98000000,3216.90410000,-2423.10040000
1.98500000,3245.39620000,-2440.91060000
1.99000000,3274.88350000,-2457.82740000
1.99500000,3304.33910000,-2473.75200000
2.00000000,3332.20230000,-2489.29430000
2.00500000,3360.51020000,-2505.12550000
2.01000000,3390.11560000,-2520.92510000
2.01500000,3421.61650000,-2536.53770000
2.02000000,3456.29020000,-2551.58170000
2.02500000,3495.09320000,-2565.10650000
2.03000000,3536.02720000,-2575.36980000
2.03500000,3574.70700000,-2582.32080000
2.04000000,3605.19760000,-2588.68290000
2.04500000,3635.32760000,-2596.61440000
2.05000000,3666.92780000,-2604.51720000
2.05500000,3705.81150000,-2613.71850000
2.06000000,3756.99360000,-2620.59330000
2.06500000,3821.54980000,-2619.93960000
2.07000000,3884.81720000,-2607.20490000
2.07500000,3938.44270000,-2587.97820000
2.08000000,3986.55540000,-2559.05520000
2.08500000,4022.40250000,-2513.11030000
2.09000000,3977.91300000,-2469.59990000
2.09500000,3920.52390000,-2444.91700000
2.10000000,3851.42750000,-2438.15420000
2.10500000,3798.75570000,-2440.98370000
2.11000000,3761.42390000,-2449.47670000
2.11500000,3730.52670000,-2459.92380000
2.12000000,3700.46050000,-2472.81960000
2.12500000,3679.67910000,-2490.08870000
2.13000000,3668.92700000,-2508.95240000
2.13500000,3668.25480000,-2527.38960000
2.14000000,3672.24140000,-2544.22390000
2.14500000,3675.70320000,-2557.54210000
2.15000000,3672.79490000,-2572.20980000
2.15500000,3669.38190000,-2589.01270000
2.16000000,3669.23190000,-2607.75360000
2.16500000,3673.57360000,-2627.20660000
2.17000000,3680.85610000,-2646.59870000
2.17500000,3689.57900000,-2665.81890000
2.18000000,3700.62420000,-2685.68060000
2.18500000,3716.00700000,-2705.33310000
2.19000000,3733.68230000,-2724.08830000
2.19500000,3754.05660000,-2741.85920000
2.20000000,3773.52280000,-2755.56310000
2.20500000,3787.43140000,-2769.14070000
2.21000000,3796.30730000,-2782.66510000
2.21500000,3798.30080000,-2799.05770000
2.22000000,3803.79800000,-2819.13300000
2.22500000,3815.62540000,-2840.48510000
2.23000000,3833.95670000,-2862.25590000
2.23500000,3859.07380000,-2882.81160000
2.24000000,3887.09180000,-2900.11860000
2.24500000,3914.81440000,-2915.32440000
2.25000000,3939.75750000,-2926.73880000
2.25500000,3952.19270000,-2941.33000000
2.26000000,3971.57300000,-2957.55830000
2.26500000,3993.46320000,-2973.02990000
2.27000000,4015.07210000,-2989.61840000
2.27500000,4038.97700000,-3006.93010000
2.28000000,4068.23350000,-3025.12800000
2.28500000,4101.09770000,-3041.94500000
2.29000000,4137.34060000,-3059.49380000
2.29500000,4182.53680000,-3074.92250000
2.30000000,4227.82280000,-3085.41270000
2.30500000,4266.30950000,-3093.19280000
2.31000000,4301.03660000,-3102.32510000
2.31500000,4339.66090000,-3110.30660000
2.32000000,4371.40560000,-3116.44120000
2.32500000,4398.33410000,-3125.57470000
2.33000000,4431.17300000,-3136.44640000
2.33500000,4468.10310000,-3145.68720000
2.34000000,4506.66630000,-3153.87400000
2.34500000,4538.79610000,-3155.64780000
2.35000000,4561.78940000,-3163.83800000
2.35500000,4591.46170000,-3173.57210000
2.36000000,4626.49840000,-3182.49790000
2.36500000,4658.85620000,-3187.70050000
2.37000000,4686.40500000,-3193.48130000
2.37500000,4712.37100000,-3199.72580000
2.38000000,4731.51960000,-3207.42470000
2.38500000,4750.21430000,-3221.04080000
2.39000000,4782.25560000,-3236.78020000
2.39500000,4822.34730000,-3250.62490000
2.40000000,4860.34220000,-3262.36020000
2.40500000,4897.05630000,-3276.54430000
2.41000000,4939.99800000,-3292.88340000
2.41500000,4995.06740000,-3310.23060000
2.42000000,5074.97410000,-3321.59420000
2.42500000,5136.35160000,-3328.21400000
2.43000000,5235.84860000,-3337.09330000
2.43500000,5318.47340000,-3320.90620000
2.44000000,5401.60420000,-3307.64890000
2.44500000,5465.86080000,-3278.94640000
2.45000000,5494.90840000,-3255.70650000
2.45500000,5520.06180000,-3245.27300000
2.46000000,5557.84640000,-3238.32770000
2.46500000,5607.25710000,-3231.80360000
2.47000000,5662.10000000,-3222.64980000
2.47500000,5715.25520000,-3209.14330000
2.48000000,5764.08990000,-3194.44560000
2.48500000,5811.24840000,-3178.68440000
2.49000000,5855.33170000,-3159.76960000
2.49500000,5894.00420000,-3141.98910000
2.50000000,5934.40520000,-3121.78940000
2.50500000,5970.07570000,-3099.80250000
2.51000000,6003.14150000,-3076.28880000
2.51500000,6029.07560000,-3050.17080000
2.52000000,6039.45790000,-3022.65610000
2.52500000,6041.12750000,-3001.72750000
2.53000000,6051.18580000,-2984.66650000
2.53500000,6061.27460000,-2966.07830000
2.54000000,6070.20110000,-2947.40610000
2.54500000,6073.59440000,-2928.30370000
2.55000000,6070.51160000,-2911.24420000
2.55500000,6065.50130000,-2897.03490000
2.56000000,6060.40480000,-2886.52290000
2.56500000,6062.50580000,-2877.37240000
2.57000000,6065.89020000,-2865.99780000
2.57500000,6070.46950000,-2854.32300000
2.58000000,6065.95880000,-2842.60340000
2.58500000,6063.23910000,-2834.36750000
2.59000000,6062.53820000,-2824.49210000
2.59500000,6053.93510000,-2814.37990000
2.60000000,6037.83340000,-2807.50750000
2.60500000,6020.97280000,-2803.86310000
2.61000000,6001.29670000,-2802.35100000
2.61500000,5978.14220000,-2806.42230000
2.62000000,5964.95680000,-2815.33820000
2.62500000,5961.13560000,-2826.37950000
2.63000000,5966.28970000,-2837.68040000
2.63500000,5976.96270000,-2847.94350000
2.64000000,5990.94410000,-2857.24720000
2.64500000,6006.91380000,-2866.71580000
2.65000000,6025.15110000,-2875.41720000
2.65500000,6045.68690000,-2884.79550000
2.66000000,6070.48050000,-2892.92010000
2.66500000,6094.09980000,-2900.00720000
2.67000000,6117.46170000,-2907.33060000
2.67500000,6140.84010000,-2915.02110000
2.68000000,6165.70990000,-2923.23810000
2.68500000,6191.88840000,-2931.42350000
2.69000000,6219.45530000,-2939.48260000
2.69500000,6247.78570000,-2947.72210000
2.70000000,6277.68800000,-2956.59940000
2.70500000,6310.50420000,-2966.13810000
2.71000000,6347.77640000,-2975.95880000
2.71500000,6389.54500000,-2983.57380000
2.72000000,6433.60290000,-2991.87290000
2.72500000,6482.87950000,-2998.95770000
2.73000000,6536.08100000,-3004.32540000
2.73500000,6592.32160000,-3007.55930000
2.74000000,6650.38310000,-3008.19050000
2.74500000,6712.68170000,-3005.08350000
2.75000000,6766.06490000,-2999.24460000
2.75500000,6816.57800000,-2992.19090000
2.76000000,6863.71590000,-2985.97150000
2.76500000,6904.50830000,-2979.52830000
2.77000000,6953.75540000,-2977.68340000
2.77500000,7016.11270000,-2972.88090000
2.78000000,7076.92180000,-2957.95270000
2.78500000,7128.45520000,-2948.73250000
2.79000000,7189.18750000,-2939.32090000
2.79500000,7254.15840000,-2927.04530000
2.80000000,7319.77660000,-2912.89090000
2.80500000,7390.00110000,-2896.60600000
