omega_eV,Re,Im
1.50000000,1.35669790,1.58302990
1.50500000,1.15193840,2.39423040
1.51000000,0.97694592,3.21364010
1.51500000,0.39433926,3.74616630
1.52000000,0.02346649,3.34347880
1.52500000,-0.22605934,2.83501200
1.53000000,-0.35173770,2.38064680
1.53500000,-0.40316833,1.92669240
1.54000000,-0.35008068,1.79127830
1.54500000,-0.40610612,1.68161860
1.55000000,-0.44800989,1.62533670
1.55500000,-0.51547086,1.28501540
1.56000000,-0.43397666,1.04124150
1.56500000,-0.39160814,0.97928814
1.57000000,-0.38487589,1.08156290
1.57500000,-0.38832371,1.31134940
1.58000000,-0.45435706,1.69672700
1.58500000,-0.73286619,1.79809620
1.59000000,-0.99431982,1.23857120
1.59500000,-0.63083405,0.54638186
1.60000000,-0.68713800,0.42474226
1.60500000,-0.53292804,0.11674124
1.61000000,-0.51237634,0.08422531
1.61500000,1.10050690,-1.96937000
1.62000000,1.46106820,7.56552970
1.62500000,-4.29568460,2.35225780
1.63000000,-2.02374310,0.22828191
1.63500000,-2.44881030,0.94219960
1.64000000,-2.65543270,-0.10328529
1.64500000,-2.43215970,-1.19190940
1.65000000,-1.93435090,-2.30881560
1.65500000,-1.46646360,-2.05248630
1.66000000,-1.52520820,-1.97741030
1.66500000,-1.39760000,-3.06896010
1.67000000,-0.80324780,-3.57969650
1.67500000,-0.29186750,-2.98491970
1.68000000,-0.06944758,-2.30056100
1.68500000,-0.06643935,-1.85680570
1.69000000,-0.10363084,-2.12912220
1.69500000,0.48884720,-2.36020900
1.70000000,0.88879908,-2.29938770
1.70500000,1.52784990,0.10967578
1.71000000,0.97024449,0.16866203
1.71500000,1.21927810,1.80477770
1.72000000,0.69219550,1.30252960
1.72500000,0.75919387,1.12818230
1.73000000,0.74864113,1.02028930
1.73500000,0.80981936,0.81058426
1.74000000,0.84124920,1.00901170
1.74500000,0.78591375,1.10847620
1.75000000,0.67487665,1.10539860
1.75500000,0.88535943,0.44439186
1.76000000,0.78605252,1.27089980
1.76500000,0.70783622,1.14282550
1.77000000,0.76884726,1.24532990
1.77500000,0.63436252,1.53274830
1.78000000,0.52549742,1.82259920
1.78500000,0.25791160,1.73984480
1.79000000,-0.02691839,1.50665110
1.79500000,-0.19292669,0.83358147
1.80000000,-0.07494331,0.30899511
1.80500000,0.00893293,-0.06304221
1.81000000,0.04729337,-0.26606198
1.81500000,0.21542954,-0.59325098
1.82000000,0.50796034,-0.43334905
1.82500000,0.63636275,0.29925408
1.83000000,0.61097792,0.81582399
1.83500000,0.55877931,1.16431430
1.84000000,0.45862954,1.55922030
1.84500000,-0.04741776,1.38857700
1.85000000,0.09617741,0.80870038
1.85500000,0.15804157,1.39361640
1.86000000,-0.08559958,0.92953121
1.86500000,0.28849515,0.27492548
1.87000000,0.46366705,0.64949004
1.87500000,0.51256788,0.82926163
1.88000000,0.59156988,1.13202440
1.88500000,0.56173499,1.86697170
1.89000000,0.19146940,2.22170880
1.89500000,-0.00888752,2.32675270
1.90000000,-0.39438213,2.35837890
1.90500000,-0.68141276,1.69700530
1.91000000,-0.43080518,0.89267995
1.91500000,-0.35136626,1.27777070
1.92000000,-0.50175822,1.22248440
1.92500000,-0.51018565,0.93257881
1.93000000,-0.40094672,0.79882956
1.93500000,-0.32075169,0.98830980
1.94000000,-0.13080171,-0.57845079
1.94500000,0.74936304,1.79137820
1.95000000,-0.25802561,1.12862290
1.95500000,0.22914755,0.28058690
1.96000000,0.23766641,1.91485040
1.96500000,-0.32135200,1.31823260
1.97000000,-0.29966428,0.65822917
1.97500000,-0.21930617,0.40105339
1.98000000,-0.12782443,0.21370971
1.98500000,-0.03867812,0.16948667
1.99000000,-0.02840830,0.07416888
1.99500000,0.01456604,-0.12681958
2.00000000,0.08334925,-0.29334174
2.00500000,0.18686085,-0.45287514
2.01000000,0.24937728,-0.44291807
2.01500000,0.39851918,-0.69778271
2.02000000,0.57782999,-0.55338402
2.02500000,0.71975889,-0.38384884
2.03000000,0.87442575,0.37322163
2.03500000,0.60165922,0.68140070
2.04000000,0.51520307,0.56913857
2.04500000,0.42666673,0.07420221
2.05000000,0.62420565,-0.12590155
2.05500000,0.79345405,-0.22907292
2.06000000,1.12866100,-0.06590361
2.06500000,1.35833060,0.72308628
2.07000000,1.41799820,1.53714830
2.07500000,1.53772070,2.06860970
2.08000000,1.39708160,4.18692470
2.08500000,0.25745268,6.02647350
2.09000000,-0.73170830,4.21693160
2.09500000,-0.85768700,3.33586990
2.10000000,-0.87477016,2.80763410
2.10500000,-0.94526112,2.52211940
2.11000000,-1.11886210,1.83705840
2.11500000,-1.17756880,1.38097600
2.12000000,-0.88595411,0.00125239
2.12500000,-0.46297740,0.26031191
2.13000000,-0.23247985,0.73695093
2.13500000,-0.42693321,1.04157290
2.14000000,-0.46097927,1.02967220
2.14500000,-0.47460482,1.04641510
2.15000000,-0.69636613,1.40300140
2.15500000,-1.01341840,0.76476888
2.16000000,-1.04245250,-0.04136578
2.16500000,-0.97424276,-0.91599992
2.17000000,-0.69931923,-2.04512280
2.17500000,0.47728228,-2.20829780
2.18000000,0.57122033,0.20670669
2.18500000,-0.21470593,0.01735040
2.19000000,-0.22364060,-0.80226370
2.19500000,-0.05221696,-1.12550090
2.20000000,0.18097430,-1.50469970
2.20500000,0.53935781,-1.83382100
2.21000000,1.13652940,-1.47192900
2.21500000,1.43910880,-0.30378207
2.22000000,1.42535740,0.64785104
2.22500000,1.32361180,1.22898840
2.23000000,1.06132940,1.85096850
2.23500000,1.06597320,1.32265650
2.24000000,1.05117320,1.95882040
2.24500000,0.68877949,1.80023040
2.25000000,0.52494499,1.27482880
2.25500000,0.69725225,0.96442834
2.26000000,0.90885746,1.83389180
2.26500000,0.77083611,1.93463800
