omega_eV,Re,Im
1.50000000,2539.53110000,-2808.47530000
1.50500000,2552.73600000,-2811.95660000
1.51000000,2566.37010000,-2815.92840000
1.51500000,2582.49870000,-2820.83250000
1.52000000,2602.56080000,-2825.23730000
1.52500000,2624.29600000,-2828.24480000
1.53000000,2642.79510000,-2830.15640000
1.53500000,2660.97450000,-2832.25080000
1.54000000,2676.15530000,-2833.23480000
1.54500000,2688.45250000,-2835.90750000
1.55000000,2699.92070000,-2838.38820000
1.55500000,2709.61220000,-2842.45260000
1.56000000,2721.63720000,-2847.90380000
1.56500000,2736.64370000,-2853.56770000
1.57000000,2755.16010000,-2858.58570000
1.57500000,2776.75180000,-2861.95290000
1.58000000,2796.89940000,-2862.45940000
1.58500000,2809.67350000,-2862.33550000
1.59000000,2820.31250000,-2864.51250000
1.59500000,2835.11890000,-2868.25330000
1.60000000,2853.86550000,-2871.16580000
1.60500000,2876.61890000,-2874.24130000
1.61000000,2908.32030000,-2876.49110000
1.61500000,2954.98750000,-2872.60970000
1.62000000,2983.39820000,-2860.67570000
1.62500000,3021.21580000,-2840.93680000
1.63000000,3011.80960000,-2825.43330000
1.63500000,3023.95560000,-2819.22840000
1.64000000,3040.80820000,-2810.35090000
1.64500000,3048.92610000,-2797.58680000
1.65000000,3053.70130000,-2791.62310000
1.65500000,3064.64700000,-2787.20370000
1.66000000,3082.77740000,-2782.27970000
1.66500000,3106.19500000,-2773.89930000
1.67000000,3128.84360000,-2762.28980000
1.67500000,3151.10480000,-2746.81120000
1.68000000,3170.85320000,-2723.88810000
1.68500000,3162.19680000,-2691.13500000
1.69000000,3115.09490000,-2664.89840000
1.69500000,3060.09210000,-2650.30690000
1.70000000,3003.96960000,-2641.56490000
1.70500000,2944.40160000,-2642.68670000
1.71000000,2895.90950000,-2650.71990000
1.71500000,2855.60540000,-2662.29350000
1.72000000,2822.42840000,-2677.92750000
1.72500000,2799.21430000,-2695.93980000
1.73000000,2787.72840000,-2714.48890000
1.73500000,2782.12390000,-2728.73390000
1.74000000,2765.25960000,-2741.47740000
1.74500000,2747.36570000,-2758.79110000
1.75000000,2733.76070000,-2777.99100000
1.75500000,2723.95350000,-2798.02720000
1.76000000,2717.78750000,-2818.20530000
1.76500000,2713.42610000,-2838.28890000
1.77000000,2711.39930000,-2858.79670000
1.77500000,2712.35720000,-2879.05760000
1.78000000,2715.91990000,-2898.84080000
1.78500000,2720.80900000,-2917.34240000
1.79000000,2723.20730000,-2935.23520000
1.79500000,2722.91950000,-2953.29710000
1.80000000,2721.96600000,-2973.39680000
1.80500000,2723.83400000,-2995.15670000
1.81000000,2728.97750000,-3017.74250000
1.81500000,2737.19180000,-3041.22540000
1.82000000,2749.68440000,-3065.20750000
1.82500000,2767.50160000,-3088.92340000
1.83000000,2790.62480000,-3111.38250000
1.83500000,2814.48800000,-3131.91990000
1.84000000,2840.33510000,-3153.06270000
1.84500000,2874.85550000,-3171.15590000
1.85000000,2905.86000000,-3184.36290000
1.85500000,2920.39830000,-3197.48250000
1.86000000,2939.45870000,-3216.60380000
1.86500000,2964.28100000,-3236.49590000
1.87000000,2994.44460000,-3256.78790000
1.87500000,3032.03770000,-3275.81630000
1.88000000,3072.92940000,-3291.85060000
1.88500000,3115.08590000,-3305.22800000
1.89000000,3156.19420000,-3313.58350000
1.89500000,3191.38890000,-3320.71270000
1.90000000,3218.11160000,-3322.32790000
1.90500000,3229.38080000,-3332.39200000
1.91000000,3256.95100000,-3346.03850000
1.91500000,3295.84810000,-3354.46340000
1.92000000,3322.37060000,-3359.50770000
1.92500000,3349.20700000,-3365.63290000
1.93000000,3373.14800000,-3367.89170000
1.93500000,3382.55650000,-3373.36240000
1.94000000,3398.67750000,-3383.35240000
1.94500000,3417.37730000,-3394.79810000
1.95000000,3448.10280000,-3408.26370000
1.95500000,3488.39850000,-3419.75060000
1.96000000,3537.92480000,-3427.92340000
1.96500000,3590.11920000,-3428.60810000
1.97000000,3634.50530000,-3422.67090000
1.97500000,3658.14830000,-3416.86840000
1.98000000,3678.64230000,-3414.62370000
1.98500000,3696.18030000,-3414.09250000
1.99000000,3714.65570000,-3414.33180000
1.99500000,3724.45190000,-3415.26710000
2.00000000,3737.39010000,-3420.16530000
2.00500000,3753.55760000,-3426.29980000
2.01000000,3773.03760000,-3432.61010000
2.01500000,3795.44480000,-3439.04060000
2.02000000,3821.58060000,-3444.83210000
2.02500000,3848.25800000,-3447.05190000
2.03000000,3873.31240000,-3450.36110000
2.03500000,3899.40140000,-3451.50910000
2.04000000,3919.44120000,-3450.47480000
2.04500000,3935.43270000,-3449.47160000
2.05000000,3942.95300000,-3447.80150000
2.05500000,3942.53120000,-3449.97660000
2.06000000,3944.28350000,-3456.40420000
2.06500000,3952.03870000,-3464.27620000
2.07000000,3966.04120000,-3471.75020000
2.07500000,3976.37270000,-3475.80680000
2.08000000,3977.47120000,-3482.98300000
2.08500000,3988.92440000,-3495.73160000
2.09000000,4007.24180000,-3508.22770000
2.09500000,4030.31680000,-3520.89800000
2.10000000,4060.03410000,-3533.19910000
2.10500000,4095.55670000,-3543.90830000
2.11000000,4136.98000000,-3551.22590000
2.11500000,4183.21180000,-3555.07280000
2.12000000,4220.84050000,-3553.59840000
2.12500000,4249.29700000,-3552.64000000
2.13000000,4275.47250000,-3553.65290000
2.13500000,4304.76040000,-3555.55580000
2.14000000,4338.40300000,-3555.92170000
2.14500000,4370.21890000,-3553.61620000
2.15000000,4394.52550000,-3550.57410000
2.15500000,4418.34540000,-3549.91450000
2.16000000,4447.85410000,-3549.04070000
2.16500000,4480.58690000,-3546.04340000
2.17000000,4516.17960000,-3538.76140000
2.17500000,4537.51130000,-3526.31260000
2.18000000,4548.72550000,-3515.20130000
2.18500000,4550.78480000,-3505.38980000
2.19000000,4544.42070000,-3498.77060000
2.19500000,4537.31890000,-3496.70740000
2.20000000,4534.78010000,-3497.46920000
2.20500000,4543.26650000,-3498.59850000
2.21000000,4543.90860000,-3491.48230000
2.21500000,4524.67330000,-3492.83720000
2.22000000,4515.07540000,-3502.01970000
2.22500000,4519.27410000,-3514.25420000
2.23000000,4545.66970000,-3526.25560000
2.23500000,4589.81500000,-3508.30100000
2.24000000,4552.07560000,-3509.25810000
2.24500000,4552.68040000,-3521.63790000
2.25000000,4563.97300000,-3536.04300000
2.25500000,4587.99730000,-3550.05870000
2.26000000,4621.95060000,-3561.55590000
2.26500000,4662.35090000,-3569.85700000
2.27000000,4706.06930000,-3574.40170000
2.27500000,4748.73540000,-3575.77550000
2.28000000,4791.64500000,-3575.83290000
2.28500000,4840.78130000,-3573.44710000
2.29000000,4886.25120000,-3563.04330000
2.29500000,4906.69420000,-3546.96450000
2.30000000,4907.36620000,-3539.02750000
2.30500000,4911.94170000,-3536.56050000
2.31000000,4917.50670000,-3536.61340000
2.31500000,4927.85110000,-3538.56650000
