omega_eV,Re,Im
1.50000000,0.22929939,1.24227100
1.50500000,0.30173988,1.01236560
1.51000000,0.43596941,1.04978070
1.51500000,0.51886943,1.59982610
1.52000000,0.46311909,2.21155300
1.52500000,0.49041365,2.65943110
1.53000000,-0.29739500,3.36423490
1.53500000,-0.54725825,3.07904220
1.54000000,-0.78873854,2.83787590
1.54500000,-0.99421717,2.52854180
1.55000000,-1.17363320,2.05809050
1.55500000,-1.25011620,1.47805340
1.56000000,-1.30221210,1.15642370
1.56500000,-1.16298430,0.83795856
1.57000000,-1.18200900,0.74382004
1.57500000,-1.23766780,0.69856868
1.58000000,-1.30772040,0.41441177
1.58500000,-1.22734800,0.26719361
1.59000000,-1.32299520,0.40759004
1.59500000,-1.55828440,0.14016518
1.60000000,-1.82143020,-0.59249901
1.60500000,-1.70483550,-2.09578400
1.61000000,-1.09717870,-2.53421560
1.61500000,-0.93088473,-2.41779090
1.62000000,-0.69768346,-2.81531700
1.62500000,-0.39002806,-2.62158250
1.63000000,-0.22882820,-2.48385050
1.63500000,-0.10599439,-2.45520050
1.64000000,0.08112145,-2.35872920
1.64500000,0.32351721,-1.74445310
1.65000000,0.29827254,-1.47729850
1.65500000,0.67137632,-1.21210890
1.66000000,0.41739808,-0.50364401
1.66500000,0.45451368,-0.65570575
1.67000000,0.50071930,-0.88319013
1.67500000,0.61351252,-0.94025592
1.68000000,0.71860491,-0.63369519
1.68500000,0.69969032,-0.30178661
1.69000000,0.65616939,-0.26987670
1.69500000,0.86043224,-0.52703825
1.70000000,0.98284851,0.11663148
1.70500000,1.00650680,0.34743960
1.71000000,1.12948620,0.52877388
1.71500000,1.27038370,2.02994590
1.72000000,-0.10170300,2.50561140
1.72500000,0.00729049,0.61519724
1.73000000,0.08040886,0.51614589
1.73500000,0.10111591,0.34230194
1.74000000,0.15292951,0.31686643
1.74500000,0.19882730,0.30725054
1.75000000,0.17739253,0.39081870
1.75500000,0.18232602,0.34429981
1.76000000,0.19038792,0.47744234
1.76500000,0.18390195,0.51904076
1.77000000,0.19450677,0.61306898
1.77500000,0.18767417,0.87002148
1.78000000,0.07362682,1.13163190
1.78500000,-0.08914107,1.25216030
1.79000000,-0.24786109,1.19022320
1.79500000,-0.39720696,1.07528300
1.80000000,-0.51506472,0.79085625
1.80500000,-0.58411598,0.48801489
1.81000000,-0.57951394,-0.08663195
1.81500000,-0.41197047,-0.13165438
1.82000000,-0.41963727,-0.22505910
1.82500000,-0.41577174,-0.48408397
1.83000000,-0.29741827,-0.60894872
1.83500000,-0.18053186,-0.51116254
1.84000000,-0.09849774,-0.39442079
1.84500000,-0.18809267,-0.21887938
1.85000000,-0.10706160,-0.31258892
1.85500000,-0.03221890,-0.23130393
1.86000000,-0.01556517,-0.19568567
1.86500000,0.00575769,-0.14515035
1.87000000,0.01817701,-0.05313457
1.87500000,-0.01861754,-0.00196207
1.88000000,-0.04270825,-0.09030699
1.88500000,-0.01917829,-0.15238325
1.89000000,0.00174345,-0.16475053
1.89500000,0.05467870,-0.16270198
1.90000000,0.05874592,-0.06835033
1.90500000,0.05117783,-0.08815181
1.91000000,0.05150670,-0.09987524
1.91500000,0.10553651,-0.09935225
1.92000000,0.12082060,-0.06880042
1.92500000,0.15212377,0.04543452
1.93000000,0.12500957,0.19226013
1.93500000,0.18223151,0.06569823
1.94000000,0.09725496,0.41624612
1.94500000,0.07287628,0.26963669
1.95000000,-0.04112886,0.41932184
1.95500000,-0.07419648,0.20735234
1.96000000,-0.10705157,0.19617231
1.96500000,0.01998236,0.06970881
1.97000000,-0.05969303,0.20643742
1.97500000,-0.08755854,0.04984123
1.98000000,-0.06888653,-0.02169067
1.98500000,-0.06218387,-0.03615211
1.99000000,-0.01107606,-0.06642327
1.99500000,0.02875560,0.02399528
2.00000000,-0.00508379,0.14383239
2.00500000,0.03319804,0.10824299
2.01000000,0.02423545,0.17660237
2.01500000,0.02333020,0.19426731
2.02000000,0.02426768,0.27853513
2.02500000,-0.00994300,0.34890942
2.03000000,-0.05305547,0.39857585
2.03500000,-0.09273038,0.42480217
2.04000000,-0.12882770,0.42849327
2.04500000,-0.15574535,0.39286293
2.05000000,-0.16105093,0.43228782
2.05500000,-0.18733556,0.46977050
2.06000000,-0.22691132,0.38060286
2.06500000,-0.23853034,0.27768342
2.07000000,-0.15982030,0.26194004
2.07500000,-0.15329216,0.43994284
2.08000000,-0.28954082,0.05074077
2.08500000,-0.20163571,-0.00169310
2.09000000,-0.14517634,0.17785762
2.09500000,-0.08818283,0.45912487
2.10000000,-0.22114215,0.68048425
2.10500000,-0.32200736,0.66305232
2.11000000,-0.41188514,0.60510885
2.11500000,-0.51412972,0.43764076
2.12000000,-0.52111722,0.14523481
2.12500000,-0.48626610,-0.17831974
2.13000000,-0.26527010,-0.39343062
2.13500000,-0.22990326,-0.29452113
2.14000000,-0.16797751,-0.19011881
2.14500000,-0.12225108,0.05710491
2.15000000,-0.22207693,0.19968132
2.15500000,-0.27066948,0.15970057
2.16000000,-0.31429098,0.10925616
2.16500000,-0.37422193,0.00277487
2.17000000,-0.36720552,-0.18296308
2.17500000,-0.33324380,-0.25097987
2.18000000,-0.30316912,-0.24227367
2.18500000,-0.30527139,-0.23852088
2.19000000,-0.34098648,-0.20973806
2.19500000,-0.42243963,-0.53122404
2.20000000,-0.37286857,-1.00378010
2.20500000,-0.34356992,-1.76255850
2.21000000,0.34149903,-1.71186560
2.21500000,0.59500912,-0.62893080
2.22000000,0.46588341,-0.68316781
2.22500000,0.46670131,0.20414377
2.23000000,0.42429068,0.53680452
2.23500000,0.39064672,0.80203265
2.24000000,0.22594601,1.12548950
2.24500000,-0.03054891,1.22204790
2.25000000,-0.35925331,0.67089586
2.25500000,-0.32724243,0.05971504
2.26000000,0.04655129,-0.32328490
2.26500000,0.13806257,0.24096185
2.27000000,0.10692371,0.77368716
2.27500000,-0.21619491,1.40007990
2.28000000,-0.61160305,1.14091750
2.28500000,-0.72468302,0.84882856
2.29000000,-0.90834314,0.07521387
2.29500000,-0.79081875,-0.35825698
2.30000000,-0.62846889,-0.36193160
2.30500000,-0.68880771,-0.12578128
2.31000000,-0.56103867,-0.04088496
2.31500000,-1.17291830,-0.31968358
2.32000000,-0.86671462,-1.24494680
2.32500000,-0.62972477,-1.54173960
2.33000000,-0.58734223,-1.61629260
2.33500000,-0.43257279,-1.85882680
2.34000000,-0.19017663,-2.14866120
2.34500000,0.11354854,-1.99515580
2.35000000,0.28866291,-1.41645190
2.35500000,0.28769210,-0.98812384
2.36000000,0.19172544,-0.62488803
2.36500000,0.21563408,-0.68680867
2.37000000,0.29934471,-0.38613127
2.37500000,0.27730291,0.03803626
2.38000000,0.17123348,0.18544463
2.38500000,0.05318398,0.35496475
2.39000000,-0.21319193,-0.08174423
2.39500000,-0.22630717,-0.15558313
2.40000000,-0.04623792,-0.35955895
2.40500000,-0.20513310,-0.02670174
2.41000000,-0.36874634,-0.28857335
2.41500000,-0.46655562,-0.63740482
2.42000000,-0.46172764,-1.02425380
2.42500000,-0.45687269,-1.36810570
2.43000000,-0.44838965,-1.73897730
2.43500000,-0.34788252,-2.21663450
2.44000000,-0.16584811,-2.71132460
2.44500000,0.51952644,-2.87784810
2.45000000,0.67715534,-2.26084320
2.45500000,0.73966623,-1.79684020
2.46000000,0.92881560,-1.54361770
2.46500000,0.88293827,-1.26869300
2.47000000,0.99700488,-0.98825718
2.47500000,1.02736770,-0.91425489
2.48000000,0.99492859,-0.34511567
2.48500000,0.98394213,-0.24563208
2.49000000,0.98031819,0.15066367
2.49500000,1.06865510,0.49960040
2.50000000,0.90397959,1.44164460
2.50500000,0.53674109,1.50503020
2.51000000,0.45480324,1.38563710
2.51500000,0.13553197,0.81972137
2.52000000,0.15892394,0.66889158
2.52500000,-0.01067015,0.31804883
2.53000000,0.22517661,-0.11559456
2.53500000,0.33399370,-0.01589123
2.54000000,0.41285056,0.09872675
2.54500000,0.38047167,0.20871157
2.55000000,0.21139110,0.74309682
2.55500000,0.19444817,-0.47853040
2.56000000,0.55336090,-0.27244266
2.56500000,0.74830214,0.44595531
2.57000000,0.61652709,1.14944880
2.57500000,0.37641077,1.39385590
2.58000000,0.01819407,1.10066790
2.58500000,0.02437529,0.69502359
2.59000000,0.04226061,0.56920433
2.59500000,0.09542620,0.36872987
2.60000000,0.16398011,0.55941629
2.60500000,0.21810166,0.50984246
2.61000000,0.23693890,0.98795680
2.61500000,0.12692706,1.06603710
2.62000000,0.04702252,1.19929420
2.62500000,-0.04246626,1.34148820
2.63000000,-0.16792282,1.44339540
2.63500000,-0.26206123,1.49886350
2.64000000,-0.43083039,1.82530150
2.64500000,-0.67108115,1.37246330
2.65000000,-0.86819130,1.22114180
2.65500000,-0.92899062,0.45743982
2.66000000,-0.96393425,0.01442745
2.66500000,-0.90808204,-0.63443232
2.67000000,-0.71636296,-0.95652588
2.67500000,-0.47561780,-1.12817840
2.68000000,-0.31311731,-0.72422208
2.68500000,-0.44221605,-0.62366701
2.69000000,-0.42733947,-0.86945384
2.69500000,-0.31686425,-1.21811640
2.70000000,-0.09029524,-1.24228770
2.70500000,0.08046892,-1.00995040
