omega_eV,Re,Im
1.50000000,3345.21570000,-709.25820000
1.50500000,3322.18100000,-714.13680000
1.51000000,3308.55460000,-719.75417000
1.51500000,3303.44830000,-724.07679000
1.52000000,3292.36260000,-718.59158000
1.52500000,3274.21860000,-721.86646000
1.53000000,3263.32360000,-723.74480000
1.53500000,3250.18540000,-724.22550000
1.54000000,3232.09050000,-726.82855000
1.54500000,3220.67420000,-729.81714000
1.55000000,3202.78940000,-730.04255000
1.55500000,3182.31560000,-732.40062000
1.56000000,3158.80690000,-735.48508000
1.56500000,3132.58220000,-739.87031000
1.57000000,3104.78380000,-745.20891000
1.57500000,3072.64580000,-751.86162000
1.58000000,3037.36160000,-760.59881000
1.58500000,3000.11250000,-771.80323000
1.59000000,2963.40270000,-786.19712000
1.59500000,2930.25850000,-802.64131000
1.60000000,2901.39750000,-820.19993000
1.60500000,2878.41950000,-836.18726000
1.61000000,2846.27870000,-851.53817000
1.61500000,2815.71340000,-871.67902000
1.62000000,2791.12260000,-894.56696000
1.62500000,2774.25740000,-918.33143000
1.63000000,2764.78020000,-942.46108000
1.63500000,2762.50680000,-965.68626000
1.64000000,2765.18220000,-982.44851000
1.64500000,2772.32170000,-998.99295000
1.65000000,2763.06560000,-1005.14620000
1.65500000,2740.45620000,-1021.27150000
1.66000000,2729.74670000,-1043.05510000
1.66500000,2731.98650000,-1063.44460000
1.67000000,2740.79770000,-1079.36040000
1.67500000,2743.15380000,-1083.58710000
1.68000000,2714.42680000,-1098.02780000
1.68500000,2702.51430000,-1115.54840000
1.69000000,2686.28830000,-1131.82820000
1.69500000,2670.33290000,-1150.81590000
1.70000000,2657.16520000,-1170.67820000
1.70500000,2647.14050000,-1189.14170000
1.71000000,2632.41100000,-1206.17470000
1.71500000,2614.63610000,-1225.30750000
1.72000000,2592.75410000,-1244.98840000
1.72500000,2567.83250000,-1269.28380000
1.73000000,2549.95810000,-1297.17180000
1.73500000,2538.77220000,-1327.17500000
1.74000000,2537.03210000,-1355.91520000
1.74500000,2538.75570000,-1385.81760000
1.75000000,2548.43650000,-1413.45990000
1.75500000,2559.85380000,-1438.28860000
1.76000000,2567.51590000,-1461.48230000
1.76500000,2573.67130000,-1485.55340000
1.77000000,2582.69190000,-1509.68990000
1.77500000,2591.77000000,-1532.30800000
1.78000000,2599.40310000,-1556.02970000
1.78500000,2610.47910000,-1579.60580000
1.79000000,2621.49410000,-1602.26980000
1.79500000,2632.14640000,-1625.44520000
1.80000000,2646.13770000,-1648.79700000
1.80500000,2662.47640000,-1670.91800000
1.81000000,2676.54060000,-1689.61690000
1.81500000,2686.53090000,-1709.31350000
1.82000000,2696.19350000,-1730.19990000
1.82500000,2707.39560000,-1751.47750000
1.83000000,2720.58610000,-1772.25990000
1.83500000,2736.07610000,-1792.16210000
1.84000000,2750.47120000,-1809.42200000
1.84500000,2755.97400000,-1826.34240000
1.85000000,2760.96540000,-1846.88450000
1.85500000,2768.00320000,-1868.29820000
1.86000000,2777.43240000,-1891.19770000
1.86500000,2791.89530000,-1915.92070000
1.87000000,2811.34700000,-1930.46750000
1.87500000,2822.44110000,-1948.46950000
1.88000000,2828.47250000,-1968.26790000
1.88500000,2837.88680000,-1990.92550000
1.89000000,2848.32840000,-2013.42260000
1.89500000,2860.67470000,-2035.68980000
1.90000000,2872.85860000,-2057.21410000
1.90500000,2884.20690000,-2078.90520000
1.91000000,2895.31480000,-2101.12040000
1.91500000,2907.10740000,-2123.88330000
1.92000000,2919.95150000,-2147.31120000
1.92500000,2934.78840000,-2171.12200000
1.93000000,2951.69460000,-2195.04710000
1.93500000,2971.08530000,-2218.88680000
1.94000000,2993.45040000,-2242.11760000
1.94500000,3018.25410000,-2264.42300000
1.95000000,3043.83270000,-2286.21700000
1.95500000,3072.64420000,-2307.69960000
1.96000000,3107.68220000,-2327.22400000
1.96500000,3141.97640000,-2342.52780000
1.97000000,3169.26670000,-2355.49000000
1.97500000,3188.15030000,-2371.08880000
1.98000000,3211.59170000,-2388.91330000
1.98500000,3238.91820000,-2406.66130000
1.99000000,3268.20640000,-2423.28670000
1.99500000,3296.23520000,-2438.75730000
2.00000000,3323.83960000,-2453.90330000
2.00500000,3351.07850000,-2469.61340000
2.01000000,3380.67020000,-2485.50430000
2.01500000,3413.18760000,-2500.75610000
2.02000000,3447.61070000,-2514.78410000
2.02500000,3483.17450000,-2527.80680000
2.03000000,3520.43360000,-2539.65820000
2.03500000,3558.74470000,-2549.71700000
