omega_eV,Re,Im
1.50000000,-4.94197740,15.49752000
1.50500000,-5.88756840,16.55799100
1.51000000,-7.26323600,17.36720800
1.51500000,-8.86991670,18.01319600
1.52000000,-10.88431900,18.53696500
1.52500000,-12.59495600,18.84059600
1.53000000,-15.27066000,19.38697100
1.53500000,-19.01328700,19.19796600
1.54000000,-21.31337100,18.25722500
1.54500000,-21.90813600,17.59114800
1.55000000,-22.72216100,17.21947900
1.55500000,-24.28112600,16.65712600
1.56000000,-23.88271500,15.67882500
1.56500000,-24.10968900,15.63252100
1.57000000,-25.53084600,15.32248900
1.57500000,-26.39745800,14.59127900
1.58000000,-26.59443500,14.00095200
1.58500000,-26.96469700,13.64851900
1.59000000,-27.46495800,13.23316300
1.59500000,-27.70890200,12.92993100
1.60000000,-28.72430200,12.94171900
1.60500000,-32.32827000,12.18609900
1.61000000,-32.37367800,10.29957300
1.61500000,-32.57285300,9.03159140
1.62000000,-32.24304800,7.68466590
1.62500000,-30.37039700,6.47120510
1.63000000,-28.04267600,6.05271310
1.63500000,-25.95945700,6.26787380
1.64000000,-25.91086100,6.85626210
1.64500000,-26.16470800,7.60352410
1.65000000,-30.86175200,8.69441500
1.65500000,-36.16260200,6.63514250
1.66000000,-37.10268700,5.64790970
1.66500000,-39.84840000,4.64534640
1.67000000,-44.51001000,3.04181040
1.67500000,-46.90989000,-0.68273824
1.68000000,-45.58883400,-3.42091360
1.68500000,-44.29551100,-5.53255300
1.69000000,-43.58929300,-7.23216700
1.69500000,-43.29141800,-9.84836960
1.70000000,-39.75299000,-12.82267600
1.70500000,-34.69472200,-14.64353100
1.71000000,-30.27517400,-15.84550600
1.71500000,-25.89932400,-16.53618300
1.72000000,-21.55495800,-17.00280600
1.72500000,-17.81002900,-16.34362800
1.73000000,-16.07708300,-15.48029200
1.73500000,-15.86181200,-14.72841800
1.74000000,-16.60759300,-14.60790400
1.74500000,-16.20861600,-14.74859700
1.75000000,-15.58058100,-14.62221400
1.75500000,-15.13280000,-14.42729300
1.76000000,-14.80461400,-14.29027900
1.76500000,-14.39397100,-14.12223500
1.77000000,-13.97170900,-13.95889000
1.77500000,-13.78481800,-13.77603000
