omega_eV,Re,Im
1.50000000,2577.97640000,-2838.40180000
1.50500000,2597.81470000,-2842.08080000
1.51000000,2620.48400000,-2846.10260000
1.51500000,2647.53750000,-2849.16250000
1.52000000,2677.98350000,-2849.65470000
1.52500000,2700.86620000,-2844.77220000
1.53000000,2719.90710000,-2839.13050000
1.53500000,2731.79900000,-2836.48080000
1.54000000,2743.23840000,-2834.59830000
1.54500000,2753.41670000,-2834.19420000
1.55000000,2761.19620000,-2834.61490000
1.55500000,2772.84570000,-2837.15680000
1.56000000,2781.75940000,-2838.23560000
1.56500000,2792.00780000,-2841.16540000
1.57000000,2807.28880000,-2845.91540000
1.57500000,2826.35200000,-2849.56150000
1.58000000,2847.50120000,-2851.34980000
1.58500000,2865.50520000,-2850.85650000
1.59000000,2880.09420000,-2850.66040000
1.59500000,2895.45750000,-2850.64350000
1.60000000,2910.07520000,-2850.67480000
1.60500000,2929.15690000,-2850.06170000
1.61000000,2945.99320000,-2847.74390000
1.61500000,2961.03620000,-2845.71080000
1.62000000,2975.37650000,-2842.92940000
1.62500000,2987.57000000,-2842.44740000
1.63000000,3009.22530000,-2842.89890000
1.63500000,3039.98020000,-2841.55840000
1.64000000,3069.59520000,-2831.55560000
1.64500000,3104.68100000,-2821.73840000
1.65000000,3131.19330000,-2802.20850000
1.65500000,3137.54430000,-2778.45440000
1.66000000,3123.67950000,-2770.64980000
1.66500000,3129.56080000,-2763.82330000
1.67000000,3143.34650000,-2757.70290000
1.67500000,3162.67950000,-2750.01300000
1.68000000,3188.05550000,-2735.27120000
1.68500000,3211.60850000,-2715.56490000
1.69000000,3216.49600000,-2687.61470000
1.69500000,3199.28530000,-2656.49050000
1.70000000,3136.30460000,-2622.30130000
1.70500000,3050.50480000,-2611.77280000
1.71000000,2982.75530000,-2615.13430000
1.71500000,2933.06230000,-2624.96600000
1.72000000,2894.87420000,-2634.66590000
1.72500000,2855.81900000,-2649.15440000
1.73000000,2826.65800000,-2667.96610000
1.73500000,2809.84030000,-2688.17400000
1.74000000,2804.49620000,-2704.39190000
1.74500000,2791.25360000,-2716.60240000
1.75000000,2769.25800000,-2731.63720000
1.75500000,2750.40390000,-2750.79580000
1.76000000,2736.17960000,-2771.45590000
1.76500000,2727.53320000,-2793.34490000
1.77000000,2723.62950000,-2814.50520000
1.77500000,2721.40710000,-2835.21030000
1.78000000,2720.05030000,-2854.75230000
1.78500000,2718.84360000,-2874.74420000
1.79000000,2719.21110000,-2894.72780000
1.79500000,2721.44220000,-2914.66790000
1.80000000,2724.99730000,-2932.16000000
1.80500000,2718.98280000,-2950.64790000
1.81000000,2716.02140000,-2972.44190000
1.81500000,2715.84960000,-2994.55770000
1.82000000,2717.25030000,-3017.63250000
1.82500000,2719.48560000,-3041.15760000
1.83000000,2724.69090000,-3066.52870000
1.83500000,2735.52070000,-3092.37830000
1.84000000,2749.74990000,-3117.63470000
1.84500000,2766.64680000,-3142.75980000
1.85000000,2789.88340000,-3167.50720000
1.85500000,2807.25050000,-3187.68540000
1.86000000,2828.21680000,-3210.66750000
1.86500000,2847.03180000,-3234.64530000
1.87000000,2870.98820000,-3258.84930000
1.87500000,2896.77570000,-3282.59870000
1.88000000,2923.68750000,-3306.59410000
1.88500000,2955.76160000,-3331.59870000
1.89000000,2999.29900000,-3355.74010000
1.89500000,3044.55120000,-3371.09860000
1.90000000,3085.67180000,-3389.37800000
1.90500000,3119.67570000,-3403.53800000
1.91000000,3164.61020000,-3419.99100000
1.91500000,3213.98940000,-3432.84560000
1.92000000,3260.75740000,-3442.62270000
1.92500000,3306.30590000,-3450.72960000
1.93000000,3352.87860000,-3459.60060000
1.93500000,3407.96860000,-3466.71200000
