omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
1.5,3345.2157,-709.2582,2577.9764,-2838.4018,-4.71267801,16.739791,-5.17127679,14.255249
1.505,3322.181,-714.1368,2597.8147,-2842.0808,-5.58582852,17.5703566,-6.18930828,15.5456254
1.51,3308.5546,-719.75417,2620.484,-2846.1026,-6.82726659,18.4169887,-7.69920541,16.3174273
1.515,3303.4483,-724.07679,2647.5375,-2849.1625,-8.35104727,19.6130221,-9.38878613,16.4133699
1.52,3292.3626,-718.59158,2677.9835,-2849.6547,-10.42119991,20.748518,-11.34743809,16.325412
1.525,3274.2186,-721.86646,2700.8662,-2844.7722,-12.10454235,21.5000271,-13.08536965,16.1811649
1.53,3263.3236,-723.7448,2719.9071,-2839.1305,-15.568055,22.7512059,-14.973265,16.0227361
1.535,3250.1854,-724.2255,2731.799,-2836.4808,-19.56054525,22.2770082,-18.46602875,16.1189238
1.54,3232.0905,-726.82855,2743.2384,-2834.5983,-22.10210954,21.0951009,-20.52463246,15.4193491
1.545,3220.6742,-729.81714,2753.4167,-2834.1942,-22.90235317,20.1196898,-20.91391883,15.0626062
1.55,3202.7894,-730.04255,2761.1962,-2834.6149,-23.8957942,19.2775695,-21.5485278,15.1613885
1.555,3182.3156,-732.40062,2772.8457,-2837.1568,-25.5312422,18.1351794,-23.0310098,15.1790726
1.56,3158.8069,-735.48508,2781.7594,-2838.2356,-25.1849271,16.8352487,-22.5805029,14.5224013
1.565,3132.5822,-739.87031,2792.0078,-2841.1654,-25.2726733,16.47047956,-22.9467047,14.79456244
1.57,3104.7838,-745.20891,2807.2888,-2845.9154,-26.712855,16.06630904,-24.348837,14.57866896
1.575,3072.6458,-751.86162,2826.352,-2849.5615,-27.6351258,15.28984768,-25.1597902,13.89271032
1.58,3037.3616,-760.59881,2847.5012,-2851.3498,-27.9021554,14.41536377,-25.2867146,13.58654023
1.585,3000.1125,-771.80323,2865.5052,-2850.8565,-28.192045,13.91571261,-25.737349,13.38132539
1.59,2963.4027,-786.19712,2880.0942,-2850.6604,-28.7879532,13.64075304,-26.1419628,12.82557296
1.595,2930.2585,-802.64131,2895.4575,-2850.6435,-29.2671864,13.07009618,-26.1506176,12.78976582
1.6,2901.3975,-820.19993,2910.0752,-2850.6748,-30.5457322,12.34921999,-26.9028718,13.53421801
1.605,2878.4195,-836.18726,2929.1569,-2850.0617,-34.0331055,10.090315,-30.6234345,14.281883
1.61,2846.2787,-851.53817,2945.9932,-2847.7439,-33.4708567,7.7653574,-31.2764993,12.8337886
1.615,2815.7134,-871.67902,2961.0362,-2845.7108,-33.50373773,6.6138005,-31.64196827,11.4493823
1.62,2791.1226,-894.56696,2975.3765,-2842.9294,-32.94073146,4.8693489,-31.54536454,10.4999829
1.625,2774.2574,-918.33143,2987.57,-2842.4474,-30.76042506,3.8496226,-29.98036894,9.0927876
1.63,2764.7802,-942.46108,3009.2253,-2842.8989,-28.2715042,3.5688626,-27.8138478,8.5365636
1.635,2762.5068,-965.68626,3039.9802,-2841.5584,-26.06545139,3.8126733,-25.85346261,8.7230743
1.64,2765.1822,-982.44851,3069.5952,-2831.5556,-25.82973955,4.4975329,-25.99198245,9.2149913
1.645,2772.3217,-998.99295,3104.681,-2821.7384,-25.84119079,5.859071,-26.48822521,9.3479772
1.65,2763.0656,-1005.1462,3131.1933,-2802.2085,-30.56347946,7.2171165,-31.16002454,10.1717135
1.655,2740.4562,-1021.2715,3137.5443,-2778.4544,-35.49122568,5.4230336,-36.83397832,7.8472514
1.66,2729.7467,-1043.0551,3123.6795,-2770.6498,-36.68528892,5.14426569,-37.52008508,6.15155371
1.665,2731.9865,-1063.4446,3129.5608,-2763.8233,-39.39388632,3.98964065,-40.30291368,5.30105215
1.67,2740.7977,-1079.3604,3143.3465,-2757.7029,-44.0092907,2.15862027,-45.0107293,3.92500053
1.675,2743.1538,-1083.5871,3162.6795,-2750.013,-46.29637748,-1.62299416,-47.52340252,0.25751768
1.68,2714.4268,-1098.0278,3188.0555,-2735.2712,-44.87022909,-4.05460879,-46.30743891,-2.78721841
1.685,2702.5143,-1115.5484,3211.6085,-2715.5649,-43.59582068,-5.83433961,-44.99520132,-5.23076639
1.69,2686.2883,-1131.8282,3216.496,-2687.6147,-42.93312361,-7.5020437,-44.24546239,-6.9622903
1.695,2670.3329,-1150.8159,3199.2853,-2656.4905,-42.43098576,-10.37540785,-44.15185024,-9.32133135
1.7,2657.1652,-1170.6782,3136.3046,-2622.3013,-38.77014149,-12.70604452,-40.73583851,-12.93930748
1.705,2647.1405,-1189.1417,3050.5048,-2611.7728,-33.6882152,-14.2960914,-35.7012288,-14.9909706
1.71,2632.411,-1206.1747,2982.7553,-2615.1343,-29.1456878,-15.31673212,-31.4046602,-16.37427988
