axis,theta_i_deg,lambda_nm,gamma2_deg,D_0p0_um,D_0p1_um,D_0p2_um,D_0p3_um,D_0p4_um,D_0p5_um,slope_um_per_percent,r2,total_change_um,min_adjacent_abs_um,monotonicity,axis_average_abs_slope,axis_minimum_r2,axis_all_monotonic
a,70.3,700,82,1.15086617495,10.7026823284,12.3248188646,18.2155301813,30.5859913235,36.9814132912,69.9123925381,0.963825414095,35.8305471162,1.62213653616,increasing,70.2378028728,0.963825414095,yes
a,70.4,700,82,-7.73998780341,1.52361157349,3.8765648428,9.93544937248,21.7011722616,28.1820309282,70.3433315006,0.972409909784,35.9220187316,2.35295326931,increasing,70.2378028728,0.963825414095,yes
a,70.5,700,82,-16.644160895,-7.70486477076,-4.62752829708,1.57868007226,12.6908201478,19.2334761003,70.5089851718,0.979892758036,35.8776369952,3.07733647369,increasing,70.2378028728,0.963825414095,yes
a,70.6,700,82,-25.5271158164,-16.9461013491,-13.156529665,-6.82531872969,3.58829544541,10.1679474422,70.4027764606,0.986256376951,35.6950632586,3.78957168416,increasing,70.2378028728,0.963825414095,yes
a,70.7,700,82,-34.3538705171,-26.162519871,-21.6785518266,-15.2458946009,-5.57113682347,1.01983829449,70.0215286932,0.991471920503,35.3737088116,4.48396804439,increasing,70.2378028728,0.963825414095,yes
b,70.3,700,82,1.15086617495,0.719108871363,-5.00286050991,-5.37907731426,-13.8891366399,-12.5271617918,-32.1688837634,0.895134584663,-13.6780279668,0.376216804357,nonmonotonic,26.8443339133,0.769226273736,no
b,70.4,700,82,-7.73998780341,-7.82533085841,-12.7973025639,-13.2609038249,-21.6683475032,-20.0544347627,-29.5899674263,0.877092058395,-12.3144469593,0.0853430549946,nonmonotonic,26.8443339133,0.769226273736,no
b,70.5,700,82,-16.644160895,-16.3832125313,-20.5897428876,-21.1391055084,-29.4159955071,-27.5575227518,-26.9184345235,0.851991075312,-10.9133618568,0.260948363623,nonmonotonic,26.8443339133,0.769226273736,no
b,70.6,700,82,-25.5271158164,-24.9226416797,-28.3535759786,-28.9864842702,-37.1055806636,-35.011576634,-24.1725798089,0.817202759499,-9.48446081753,0.604474136753,nonmonotonic,26.8443339133,0.769226273736,no
b,70.7,700,82,-34.3538705171,-33.4112859474,-36.0619578871,-36.7756198292,-44.7106968598,-42.3917544122,-21.3718040441,0.769226273736,-8.03788389508,0.713661942176,nonmonotonic,26.8443339133,0.769226273736,no
