record_type,outer_fold,held_out_strain_percent,selected_lambda_nm,selected_gamma2_deg,selected_five_angles_deg,source_value,recomputed_value,difference,quantity,reproduction_method,source
outer_prediction,1,0.0,430.0,60.5,"77.9;77.8;78.0;77.7;78.1",0.015912628770366598,0.015912628770366598,0,predicted_strain_percent,authoritative fold prediction retained; aggregates independently recomputed,v30A_full_nested_loocv_fold_results.csv
outer_prediction,2,0.1,700.0,82.0,"70.3;70.4;70.2;70.5;70.1",0.10100407526403141,0.10100407526403141,0,predicted_strain_percent,authoritative fold prediction retained; aggregates independently recomputed,v30A_full_nested_loocv_fold_results.csv
outer_prediction,3,0.2,700.0,82.5,"70.6;70.5;70.7;70.4;70.8",0.2016133665407612,0.2016133665407612,0,predicted_strain_percent,authoritative fold prediction retained; aggregates independently recomputed,v30A_full_nested_loocv_fold_results.csv
outer_prediction,4,0.3,700.0,82.5,"70.5;70.4;70.6;70.3;70.7",0.29722203492095067,0.29722203492095067,0,predicted_strain_percent,authoritative fold prediction retained; aggregates independently recomputed,v30A_full_nested_loocv_fold_results.csv
outer_prediction,5,0.4,700.0,82.0,"70.6;70.7;70.5;70.8;70.4",0.4037995725294718,0.4037995725294718,0,predicted_strain_percent,authoritative fold prediction retained; aggregates independently recomputed,v30A_full_nested_loocv_fold_results.csv
outer_prediction,6,0.5,700.0,82.0,"70.7;70.6;70.8;70.5;70.9",0.49699794888806398,0.49699794888806398,0,predicted_strain_percent,authoritative fold prediction retained; aggregates independently recomputed,v30A_full_nested_loocv_fold_results.csv
outer_summary,,,,,,0.00692807122486,0.0069280712248551606,-4.8394e-15,RMSE_percent,independent aggregation of six full-precision predictions,v30A_full_nested_loocv_fold_results.csv
outer_summary,,,,,,0.00468494321594,0.0046849432159360499,-3.9501e-15,MAE_percent,independent aggregation of six full-precision predictions,v30A_full_nested_loocv_fold_results.csv
outer_summary,,,,,,0.01591262877037,0.015912628770366598,-3.4019e-15,max_abs_error_percent,independent aggregation of six full-precision predictions,v30A_full_nested_loocv_fold_results.csv
outer_summary,,,,,,0.99835434842640,0.99835434842640003,3e-17,predictive_R2,independent SSE/SST calculation,v30A_full_nested_loocv_fold_results.csv
full_candidate,,,"700.0","82.0","70.5;70.6;70.4;70.7;70.3",0.034199509429195897,0.0341995094291959,3e-18,relative_min_denominator,in-memory recomputation from grids.mat with authoritative functions,strain_readout_multipoint_fitting_candidates.csv
full_candidate,,,"700.0","82.0","70.5;70.6;70.4;70.7;70.3",0.0193026971994378,0.0193026971994378,0,gamma2_error_normalized_rmse,in-memory recomputation of four gamma2 perturbations,strain_readout_multipoint_fitting_candidates.csv
full_candidate,,,"700.0","82.0","70.5;70.6;70.4;70.7;70.3",0.9810628410456752,0.981062841045675,-2e-16,gamma2_robustness_score,computed as 1/(1+gamma2_error),strain_readout_multipoint_fitting_candidates.csv
